Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Purchase invoice number
Department of Health,NHS Rotherham CCG,30/04/2015,NHS Recbles <1Yr- CHC Risk Pool Con,BALANCE SHEET,NHS YORKSHIRE AND HUMBER CS,7476461,"-89,668.00",7312401467
Department of Health,NHS Rotherham CCG,30/04/2015,Charges from CSU,ADMINISTRATION & BUSINESS SUPPORT,NHS YORKSHIRE AND HUMBER CS,7477094,"119,992.00",7312401679
Department of Health,NHS Rotherham CCG,30/04/2015,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS YORKSHIRE AND HUMBER CS,7477094,"40,841.00",7312401679
Department of Health,NHS Rotherham CCG,30/04/2015,External Consultancy Fees,NON RECURRENT PROGRAMMES,PHOENIX COMPUTERS,7433449,"24,999.81",314808
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,7477078,"-29,925.00",5917
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,7512101,"2,262,041.91",69209
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Othe Public Sector,LEARNING DIFFICULTIES,ROTHERHAM DONCASTER & SOUTH HUMBER MENTAL HEALTH NHS FOUNDATION TRUST,7512110,"233,854.50",69210
Department of Health,NHS Rotherham CCG,30/04/2015,Other Gen Supplies & Srv,NON RECURRENT PROGRAMMES,ROTHERHAM HEALTHWATCH LTD,7717199,"25,000.00",CCG20151
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Voluntary Sector,HOSPICES,ROTHERHAM HOSPICE TRUST (THE),7423126,"25,000.00",286
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Voluntary Sector,HOSPICES,ROTHERHAM HOSPICE TRUST (THE),7491121,"1,630,420.00",287
Department of Health,NHS Rotherham CCG,30/04/2015,Contract- Refuse & Clinical Waste,COMMUNITY SERVICES,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7512084,"56,100.00",113796746
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Othe Public Sector,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7529077,"249,391.41",113831935
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Othe Public Sector,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,7529106,"253,684.50",113828891
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROTHERHAM NHS FOUNDATION TRUST,7416617,"10,665,150.00",100788-01-APR-2015
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,7416617,"2,322,850.00",100788-01-APR-2015
Department of Health,NHS Rotherham CCG,30/04/2015,Contract & Agency-Agency A & C,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,7422834,"6,082.70",6007559
Department of Health,NHS Rotherham CCG,30/04/2015,Contract & Agency-Agency Nursing,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,7422834,"22,891.89",6007559
Department of Health,NHS Rotherham CCG,30/04/2015,Oth Travel Costs-Training Trav&Subs,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,7422834,319.74,6007559
Department of Health,NHS Rotherham CCG,30/04/2015,Contract & Agency-Agency A & C,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,7422864,"11,471.91",6007558
Department of Health,NHS Rotherham CCG,30/04/2015,Contract & Agency-Agency Nursing,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,7422864,"17,542.99",6007558
Department of Health,NHS Rotherham CCG,30/04/2015,Oth Travel Costs-Training Trav&Subs,MEDICINES MANAGEMENT - CLINICAL,ROTHERHAM NHS FOUNDATION TRUST,7422864,"1,526.88",6007558
Department of Health,NHS Rotherham CCG,30/04/2015,Prescribing,PRESCRIBING,ROTHERHAM NHS FOUNDATION TRUST,7442997,"93,899.23",6007547
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ROTHERHAM NHS FOUNDATION TRUST,7511948,"400,000.00",6007404
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Serv Recd-F Trsts,WHEELCHAIR SERVICE,ROTHERHAM NHS FOUNDATION TRUST,7528631,"48,281.11",6007705
Department of Health,NHS Rotherham CCG,30/04/2015,Computer Network Costs,ADMINISTRATION & BUSINESS SUPPORT,ROTHERHAM NHS FOUNDATION TRUST,7594318,"44,497.00",6008139
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,7529235,"81,735.24",2100164873
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,7529382,"154,477.00",2100165412
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,7613701,"-70,180.72",2200006337
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7457197,"1,800,000.00",STH15000004
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7512051,"-78,614.00",5000033933
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7512061,"-57,676.00",5000033950
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7697604,"-223,565.00",5000034090
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,7717330,"220,617.00",4000419356
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Voluntary Sector,ACUTE CHILDRENS SERVICES,VOLUNTARY ACTION ROTHERHAM,7717224,"187,752.00",20156
Department of Health,NHS Rotherham CCG,30/04/2015,Clinical&Medical-Voluntary Sector,ACUTE CHILDRENS SERVICES,VOLUNTARY ACTION ROTHERHAM,7717232,"281,425.00",20154
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,7512144,"535,440.40",2810008860
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,7512150,"51,711.00",2810008883
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,7512155,"103,762.01",2810008905
Department of Health,NHS Rotherham CCG,30/04/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,7755907,"39,307.00",2810009050
