Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,"3,195.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,"12,978.69"
Department of Health,NHS Rotherham CCG,8/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,413.51
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,333.56
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,856.56
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489971,161.03
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,33685412,"-32,704.73"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33685412,"-1,363.35"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,33685413,"63,074.44"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33685413,"11,184.41"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,33685413,"1,363.35"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668196,"93,979.60"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668196,"1,849.20"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668196,762.92
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668196,"9,116.66"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668196,"1,601.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33668196,"10,712.80"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489977,-29.28
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489977,-421.29
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489977,"-5,856.28"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489977,-61.95
Department of Health,NHS Rotherham CCG,8/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489977,"-1,405.77"
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489977,"-6,445.72"
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489977,"-8,917.03"
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489977,"-16,092.50"
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489977,"-1,319.74"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489978,"122,902.84"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489978,1.4
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489978,"2,312.30"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489978,"10,391.67"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489978,"2,333.00"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489978,"11,535.01"
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489978,960.91
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489978,"1,296.32"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489975,-270.41
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489975,"-1,104.69"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489975,-501.73
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489975,"-7,394.20"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489975,-412.57
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,33489975,"-1,142.79"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489975,-73.78
Department of Health,NHS Rotherham CCG,8/31/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489975,-176.27
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489975,"-9,800.37"
Department of Health,NHS Rotherham CCG,8/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489975,"-10,646.81"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489976,"2,100.16"
Department of Health,NHS Rotherham CCG,8/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,33489976,"155,196.62"
