Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,NHS Rotherham CCG,30/06/2020,Computer Hardware Purch,NON RECURRENT PROGRAMMES,DELL CORPORATION LTD,32676036,"45,840.00"
Department of Health,NHS Rotherham CCG,30/06/2020,Computer Hardware Purch,NON RECURRENT PROGRAMMES,DELL CORPORATION LTD,32916076,"45,840.00"
Department of Health,NHS Rotherham CCG,30/06/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,32586349,"842,299.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668311,-158.89
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668311,"-1,869.05"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668311,"-6,337.72"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668311,-23.37
Department of Health,NHS Rotherham CCG,30/06/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668311,"-7,283.59"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668311,"-1,775.93"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668311,"-2,091.25"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668311,"-35,901.86"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668314,"39,225.07"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668314,"2,940.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668314,727.9
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668314,991.45
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668314,"2,833.33"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668314,774
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668314,"13,843.25"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668314,"9,470.80"
Department of Health,NHS Rotherham CCG,30/06/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668314,"4,651.80"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668314,37.74
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668314,"3,391.63"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668304,-950.72
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668304,-331.53
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668304,"-4,813.47"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668304,"-20,851.88"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668304,-48.75
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668304,"-4,932.23"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668304,"-5,054.09"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668308,"101,016.65"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668308,"1,260.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668308,45.37
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668308,"1,900.57"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668308,718.8
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668308,"7,331.33"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668308,"2,532.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668308,"45,546.09"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668308,"31,053.54"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668317,-431.08
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668317,-314.39
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668317,"-4,470.04"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668317,"-17,231.88"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668317,-46.23
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668317,"-1,434.60"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668317,"-1,576.05"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668319,"93,821.09"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668319,20.57
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668319,"1,764.97"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668319,"2,021.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668319,"39,297.90"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668319,"26,284.48"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881869,"47,529.88"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881869,938.93
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881869,"3,831.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881869,"2,991.67"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881869,415
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881869,"20,982.53"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881869,"15,855.61"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668333,"-1,454.94"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668333,-371.73
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668333,"-5,328.74"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668333,"-18,508.84"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668333,-54.67
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668333,"-5,728.75"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668333,"-5,955.72"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668336,"111,839.69"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668336,"3,640.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668336,69.43
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668336,"2,104.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668336,"49,393.86"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668336,"1,789.21"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668336,611.34
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668336,"40,428.26"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668336,"26,555.04"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881870,-331.93
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881870,"-19,879.54"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881870,-48.81
Department of Health,NHS Rotherham CCG,30/06/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881870,"-3,051.53"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881870,"-3,215.77"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881871,"1,540.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881871,"92,915.30"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881871,"1,825.31"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881871,"6,592.90"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881871,"7,413.75"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881871,"2,495.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881871,"45,310.81"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32881871,"30,318.45"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668327,-587.95
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668327,"-8,326.81"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668327,"-39,091.56"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668327,-86.46
Department of Health,NHS Rotherham CCG,30/06/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668327,-540
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668327,"-3,397.56"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668327,"-10,196.75"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668327,"-14,619.64"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668330,"174,759.91"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668330,140
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668330,"3,284.92"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668330,"12,510.33"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668330,"7,477.08"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668330,"5,023.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668330,"85,386.41"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668330,"56,524.79"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668330,840
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668330,575.2
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,32911493,"50,935.06"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prof fees Dispensing,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32911493,"7,768.63"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prsc Chrgs Cll&Rmttd by GPs,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,32911493,594.75
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668322,-408.19
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668322,-325.44
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668322,"-21,591.62"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668322,-47.86
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668322,"-2,141.28"
Department of Health,NHS Rotherham CCG,30/06/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668322,"-5,590.27"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PCN DES Support Payment,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668324,"2,717.51"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668324,"97,519.78"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668324,"6,873.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668324,560
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668324,"3,326.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,32668324,"7,110.08"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668324,"1,834.73"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668324,"14,551.50"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668324,"3,195.00"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668324,"47,161.88"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NHS ROTHERHAM CCG GP PRACTICE,32668324,"30,936.89"
Department of Health,NHS Rotherham CCG,30/06/2020,C&M-PMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,NHS ROTHERHAM CCG GP PRACTICE,32911490,"-31,014.45"
