Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,VAT Registration Number
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,33073529,275.64,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BEECH HOUSE MEDICAL PRACTICE,33073529,4657.98,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,33073533,807.12,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,33073533,41407.6,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ALVANLEY FAMILY PRACTICE,33073533,4892.21,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,33073536,1261.33,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,33073536,63609.01,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,33073536,156158.22,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARCHWOOD MEDICAL PRACTICE,33073536,7351.24,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,33073539,33424.32,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,33073539,669.87,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,33073539,2627.33,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,33073539,5711.48,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,33073539,4.64,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,ADSHALL ROAD MEDICAL PRACTICE,33073539,7.18,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,33073543,87820.72,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,33073543,1739.1,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,33073543,11074.27,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,33073543,1461.32,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BRAMHALL HEALTH CENTRE,33073543,1703.12,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,33073547,103906.42,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,33073547,2047.96,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,33073547,2900,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,33073547,18334.31,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,33073547,1137.04,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BRAMHALL PARK MEDICAL CENTRE,33073547,996.66,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,33073550,662.33,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,33073550,32835.1,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,33073550,4912.5,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BREDBURY MEDICAL PRACTICE,33073550,3597.6,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,33073553,1934.62,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,33073553,97553.81,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,33073553,7951.25,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CARITAS GENERAL PRACTICE PARTNERSHIP,33073553,15542.84,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,33073555,28880.5,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,33073555,569.42,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,33073555,1491.67,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CALE GREEN SURGERY,33073555,4217.6,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,33073559,81278.27,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,33073559,1603.32,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,33073559,5712,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRINNINGTON HEALTH CENTRE STOCKPORT,33073559,22252.02,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073561,-432.86,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073561,-871.4,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073561,-13054.74,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073561,-12755.43,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073561,-818.05,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073563,92881.65,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073563,1833.84,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073563,3812.5,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073563,13534.31,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073563,431.4,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073563,558,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073563,862.8,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SEABROOK,33073563,279,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,33073566,76548.87,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,33073566,6977.28,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,33073566,3474.2,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,33073566,7217.88,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,33073566,1506.8,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,33073566,2812.5,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,33073566,8659.21,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,CHEADLE HULME HEALTH CENTRE - DR SHIPSTON,33073566,3211.74,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,33073571,4174.31,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,33073571,82871.76,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,33073571,2078.52,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CHEADLE MEDICAL PRACTICE,33073571,4318.25,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,33073571,1639.33,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,33073571,5629.17,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,33073571,18370.06,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,33073571,223.16,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHEADLE MEDICAL PRACTICE,33073571,193.96,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHADSFIELD MEDICAL PRACTICE,33073579,57125.45,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CHADSFIELD MEDICAL PRACTICE,33073579,1133.51,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHADSFIELD MEDICAL PRACTICE,33073579,14975.05,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHADSFIELD MEDICAL PRACTICE,33073579,581.8,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHADSFIELD MEDICAL PRACTICE,33073579,505.73,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,FAMILY SURGERY STOCKPORT,33073582,88839.65,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,FAMILY SURGERY STOCKPORT,33073582,5359.32,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,FAMILY SURGERY STOCKPORT,33073582,2668.57,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,FAMILY SURGERY STOCKPORT,33073582,5544.13,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,FAMILY SURGERY STOCKPORT,33073582,1771.13,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,FAMILY SURGERY STOCKPORT,33073582,5104.44,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,FAMILY SURGERY STOCKPORT,33073582,5910.42,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,FAMILY SURGERY STOCKPORT,33073582,13107.58,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,FAMILY SURGERY STOCKPORT,33073582,449.41,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,FAMILY SURGERY STOCKPORT,33073582,338.62,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073585,-308.77,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073585,-10431.57,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073585,-8577.87,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073585,-8957.82,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073585,-2310.23,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073585,-12013.14,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073587,420,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073587,64546.44,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073587,1265.97,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073587,453.87,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073587,500.88,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GATLEY MEDICAL CENTRE,33073587,11513.07,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GUYWOOD PRACTICE,33073591,23684.29,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,GUYWOOD PRACTICE,33073591,460.05,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GUYWOOD PRACTICE,33073591,2594.38,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,HEATON MERSEY MEDICAL PRACTICE,33073593,-265.49,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension EEs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HEATON MERSEY MEDICAL PRACTICE,33073593,-2253.09,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,HEATON MERSEY MEDICAL PRACTICE,33073593,-13915.58,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HEATON MERSEY MEDICAL PRACTICE,33073593,-17195.02,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HEATON MERSEY MEDICAL PRACTICE,33073594,54654.35,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEATON MERSEY MEDICAL PRACTICE,33073594,1070.53,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HEATON MERSEY MEDICAL PRACTICE,33073594,3208.33,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HEATON MERSEY MEDICAL PRACTICE,33073594,6426.28,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HEATON NORRIS HEALTH CENTRE DR MARSHALL,33073598,58746.61,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEATON NORRIS HEALTH CENTRE DR MARSHALL,33073598,1151.33,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HEATON NORRIS HEALTH CENTRE DR MARSHALL,33073598,8795.6,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HEATON NORRIS HEALTH CENTRE DR MARSHALL,33073598,86.28,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,HEATON NORRIS HEALTH CENTRE DR MARSHALL,33073598,157.5,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,HEATON NORRIS HEALTH CENTRE DR MARSHALL,33073598,167.78,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HEATON NORRIS HEALTH CENTRE DR MARSHALL,33073598,28.5,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HIGH LANE MEDICAL CENTRE,33073602,908.32,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,HIGH LANE MEDICAL CENTRE,33073602,46528.76,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,HIGH LANE MEDICAL CENTRE,33073602,1272.15,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HIGH LANE MEDICAL CENTRE,33073602,6774.8,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,HEALD GREEN HEALTH CENTRE DR WRIGHT,33073604,-209.21,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HEALD GREEN HEALTH CENTRE DR WRIGHT,33073604,-6300.39,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,HEALD GREEN HEALTH CENTRE DR WRIGHT,33073604,-4738.51,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,HEALD GREEN HEALTH CENTRE DR WRIGHT,33073604,-1744.2,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,HEALD GREEN HEALTH CENTRE DR WRIGHT,33073604,-6671.82,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HEALD GREEN HEALTH CENTRE DR WRIGHT,33073604,-5864.34,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HEALD GREEN HEALTH CENTRE DR WRIGHT,33073607,45196.4,"""-"""
Department of Health,NHS Stockport CCG,7/31/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,HEALD GREEN HEALTH CENTRE DR WRIGHT,33073607,884.86,"""-"""
