Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,35097603,"9,836.81",C&M-GMS Prof Fees Dispensing,HT000052136
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,35097603,"1,308.45",C&M-GMS PrscrptnChrgsColl&RmttdbyGP,HT000052136
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,34926413,"49,231.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP012101
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,34926418,"136,842.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP012102
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,34926429,"33,582.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP012104
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,34926485,"215,530.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP012115
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,35037100,"30,293.15",C&M-GMS LES Subj Awaiting CoA App,FSEN1220063
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,35078910,"91,501.31",C&M-GMS Global Sum,HT000051774
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,35078910,"28,335.40",C&M-GMS PCO Locum Adop/Pat/Mat,HT000051774
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,35078910,"9,687.50",C&M-GMS Prem Notional Rent,HT000051774
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,35037093,"31,830.36",C&M-GMS LES Subj Awaiting CoA App,FSEN1220057
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,35078914,"96,291.75",C&M-GMS Global Sum,HT000051778
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,35078914,"25,900.00",C&M-GMS Prem Actual Rent,HT000051778
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,35078914,267.51,C&M-GMS QOF Aspiration,HT000051778
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,35078914,"2,073.58",ME-GMS GP Pension EEs Adjustments,HT000051778
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,35078914,"2,208.74",ME-GMS GP Pension ERs Adjustments,HT000051778
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,35037046,"39,292.28",C&M-GMS LES Subj Awaiting CoA App,FSEN1220036
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,35078920,"119,191.26",C&M-GMS Global Sum,HT000051784
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,35078920,"26,856.25",C&M-GMS Prem Notional Rent,HT000051784
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,35037109,"28,547.44",C&M-GMS LES Subj Awaiting CoA App,FSEN1220072
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,35078916,"86,268.37",C&M-GMS Global Sum,HT000051780
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,35078916,"17,250.00",C&M-GMS Prem Actual Rent,HT000051780
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,35049873,"15,464.60",Cont Care- Adult 100% Fully Funded,TPC019047
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,35049873,"22,142.12",Cont Care- Palliative Care,TPC019047
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BUPA CARE HOMES,35049873,"3,866.14",Cont Care-Physical Disab (65+),TPC019047
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,35037054,"25,790.62",C&M-GMS LES Subj Awaiting CoA App,FSEN1220038
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,35078918,"77,817.94",C&M-GMS Global Sum,HT000051782
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,35078918,996.47,C&M-GMS Other FDR Payment,HT000051782
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,35078918,"16,116.25",C&M-GMS Prem Notional Rent,HT000051782
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,34926435,"1,632,283.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP012105
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,CANDOUR CARE SERVICES,34843547,"31,307.67",Cont Care-Learning Disab(<65),565
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,CANDOUR CARE SERVICES,34918465,"32,351.25",Cont Care-Learning Disab(<65),571
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Computer Hardware Purch,CORPORATE COSTS & SERVICES,CDW,34791112,"22,494.00",Computer Hardware Purch,PSINV02964535
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Computer Hardware Purch,CORPORATE COSTS & SERVICES,CDW,34791112,598,Computer Hardware Purch,PSINV02964535
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Computer Hardware Purch,CORPORATE COSTS & SERVICES,CDW,34791112,"4,618.40",Computer Hardware Purch,PSINV02964535
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,35037097,"33,856.66",C&M-GMS LES Subj Awaiting CoA App,FSEN1220060
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,35078922,"102,282.46",C&M-GMS Global Sum,HT000051786
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,35037082,"33,551.20",C&M-GMS LES Subj Awaiting CoA App,FSEN1220052
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,35078924,"101,685.60",C&M-GMS Global Sum,HT000051788
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,35078924,"12,782.10",C&M-GMS PCO Locum Adop/Pat/Mat,HT000051788
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,35078924,"19,025.00",C&M-GMS Prem Actual Rent,HT000051788
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,35078924,"16,950.00",C&M-GMS Prem Notional Rent,HT000051788
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,35078924,320.77,C&M-GMS Prem Water Rates,HT000051788
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY WARE,35037103,"46,727.97",C&M-GMS LES Subj Awaiting CoA App,FSEN1220066
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,35078926,"57,800.94",C&M-GMS Global Sum,HT000051790
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,35078926,"14,656.25",C&M-GMS Prem Notional Rent,HT000051790
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,35037091,"30,818.71",C&M-GMS LES Subj Awaiting CoA App,FSEN1220056
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,35078928,"93,129.52",C&M-GMS Global Sum,HT000051792
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,35078928,16.56,C&M-GMS QOF Aspiration,HT000051792
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,35097562,"21,164.83",C&M-GMS Cost of Drugs -Prescribing,HT000052095
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,35097562,"4,285.22",C&M-GMS Prof Fees Prescribing,HT000052095
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35037099,"32,077.24",C&M-GMS LES Subj Awaiting CoA App,FSEN1220062
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35078929,"-1,597.64",C&M-GMS GP Statutory Levy,HT000051793
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35078929,-108.93,C&M-GMS Voluntary Levy,HT000051793
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35078929,"-7,987.73",ME - GMS GP Prior Year ERs,HT000051793
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35078929,-320.83,ME - GMS TPS Added Years Adj EEs,HT000051793
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35078929,"-7,157.91",ME-GMS GP Pension EEs,HT000051793
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35078929,"-7,489.59",ME-GMS GP Pension ERs Adjustments,HT000051793
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35078929,"-8,054.39",ME-GMS GP Prior Year EEs,HT000051793
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35078930,"97,069.58",C&M-GMS Global Sum,HT000051794
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35078930,"6,600.00",C&M-GMS Prem Actual Rent,HT000051794
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,34926440,"21,757,227.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP012106
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,34952794,"370,000.00",Hcare Srv Rec NHS Trust-Prior Year,4171123
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec NHS Trust-Prior Year,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,34952796,"67,000.00",Hcare Srv Rec NHS Trust-Prior Year,4171574
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,34926445,"2,195,350.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP012107
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Clinical&Medical-Independent Sector,GP FORWARD VIEW,ECONSULT HEALTH LTD,34880484,"26,566.79",Clinical&Medical-Independent Sector,INV0657
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Clinical&Medical-Clinical Other,PRC DELEGATED CO-COMMISSIONING,EPHEDRA HEALTHCARE LTD,35027064,"26,309.50",Clinical&Medical-Clinical Other,FSEN1220028
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,EPHEDRA HEALTHCARE LTD,35064901,"40,690.83",Clinical&Medical-Clinical Other,FSEN1220445
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ESSEX PARTNERSHIP UNIVERSITY NHS FT,34926449,"79,387.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP012108
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,FINECARE HOMES (STEVENAGE),34918469,"63,771.43",Cont Care- Adult 100% Fully Funded,D2ADEC2020
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,35078932,"72,853.92",C&M-GMS Global Sum,HT000051796
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,35078932,"1,514.35",C&M-GMS Other FDR Payment,HT000051796
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,35078932,"19,925.00",C&M-GMS Prem Actual Rent,HT000051796
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,35078934,"54,143.00",C&M-GMS Global Sum,HT000051798
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,35078934,346.52,C&M-GMS QOF Aspiration,HT000051798
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,GARDEN HOUSE HOSPICE,34843624,"34,000.00",Cont Care- Adult 100% Fully Funded,1344
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Clinical&Medical-Voluntary Sector,HOSPICES,GARDEN HOUSE HOSPICE,35001360,"60,341.00",Clinical&Medical-Voluntary Sector,1338
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,GENERATING HEALTHCARE LTD,35064902,"42,593.18",Clinical&Medical-Clinical Other,FSEN1220446
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,34926457,"68,193.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP012109
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,34926464,"178,420.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP012110
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,35078936,"71,633.25",C&M-GMS Global Sum,HT000051800
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,35078936,"7,769.12",C&M-GMS PCO Doctors Ret Scheme,HT000051800
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,35078936,146.51,C&M-GMS QOF Aspiration,HT000051800
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35037078,"39,021.45",C&M-GMS LES Subj Awaiting CoA App,FSEN1220050
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35078938,"118,003.03",C&M-GMS Global Sum,HT000051802
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35078938,234.52,C&M-GMS Prem Healthcentre Rent,HT000051802
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35078938,"26,735.86",C&M-GMS Prem Notional Rent,HT000051802
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35078938,71.04,C&M-GMS QOF Aspiration,HT000051802
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS LES Subj Awaiting CoA App,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,35037040,"27,644.00",C&M-GMS LES Subj Awaiting CoA App,FSEN1220033
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,35078940,"83,666.61",C&M-GMS Global Sum,HT000051804
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,35078940,"15,858.00",C&M-GMS Prem Actual Rent,HT000051804
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Cont Care-FNC Client Continence Allow,FUNDED NURSING CARE,HC ONE OVAL LTD,35083685,530.72,Cont Care-FNC Client Continence Allow,STC060816TOSTC060849
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HC ONE OVAL LTD,35083685,"24,513.82",Cont Care-Funded Nursing Care Allow,STC060816TOSTC060849
Department of Health,NHS East & North Hertfordshire CCG,12/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,34926467,"4,107,796.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP012111
