Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26593394,"46,542.00",,HT000040280,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26593394,209.7,,HT000040280,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26593394,"8,946.15",,HT000040280,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26618025,"-1,407.56",,HT000040279,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26618025,-159.95,,HT000040279,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26618025,"-2,430.35",,HT000040279,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26618025,"-14,398.59",,HT000040279,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26618025,"-14,500.26",,HT000040279,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26618025,-679.41,,HT000040279,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,AMWELL STREET SURGERY,26618025,"-2,450.63",,HT000040279,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26593391,"57,198.22",879108291,HT000040276,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26593391,"1,150.80",879108291,HT000040276,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26593391,"1,666.43",879108291,HT000040276,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26593391,"7,747.50",879108291,HT000040276,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26593391,500.21,879108291,HT000040276,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26593391,"4,794.78",879108291,HT000040276,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,26616130,"-31,483.43",879108291,HT000040600,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26616130,"-2,138.40",879108291,HT000040600,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,26616131,"47,827.23",879108291,HT000040601,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,26616131,"12,324.84",879108291,HT000040601,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,26616131,"2,138.40",879108291,HT000040601,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,26593529,140,,HT000040374,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,26593529,"118,073.35",,HT000040374,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,26593529,239.37,,HT000040374,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,26593529,"11,393.36",,HT000040374,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,26616188,"26,475.40",,HT000040658,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,26616188,"4,333.89",,HT000040658,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,26616188,"1,038.40",,HT000040658,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,26442948,"111,985.00",654924414,8454999,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,26416344,"240,602.65",654947005,366273,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,26628244,"239,948.27",654947005,368614,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,26628251,"239,948.27",654947005,368771,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,26239037,"43,245.00",GB 654911917,101522,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,26244588,"28,628.29",654912424,I0169601,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,26628439,"71,456.00",654912424,I0170505,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),26538021,"66,181.94",,105972-19-MAR-2019,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),26538021,"7,520.68",,105972-19-MAR-2019,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,26593393,"1,120.00",,HT000040278,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,26593393,"87,617.55",,HT000040278,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,26593393,425,,HT000040278,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,26593393,"1,411.49",,HT000040278,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,26593393,"22,495.10",,HT000040278,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,26593393,"3,229.17",,HT000040278,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,26593393,"8,462.17",,HT000040278,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593395,"-1,460.47",,HT000040281,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593395,"-7,006.08",,HT000040281,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593395,-165.96,,HT000040281,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593395,"-8,578.39",,HT000040281,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593395,-72.31,,HT000040281,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593395,"-10,451.41",,HT000040281,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593395,"-11,190.43",,HT000040281,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593395,"-7,854.70",,HT000040281,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593396,"2,380.00",,HT000040282,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593396,"91,728.66",,HT000040282,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593396,"2,463.77",,HT000040282,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,26593396,"11,389.28",,HT000040282,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,26394701,"107,041.78",GB235134980,104940,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,26394704,"91,874.98",GB235134980,104941,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,NCAS/OATS,BMI HEALTHCARE LTD,26552917,"28,643.00",GB235134980,105814,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,26575856,"61,355.81",GB235134980,105819,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,BPAS,26229142,"25,154.12",855924881,39980,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,26593402,"113,218.87",,HT000040288,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,26593402,"2,564.31",,HT000040288,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,26593402,"9,508.33",,HT000040288,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,26593402,864.44,,HT000040288,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,26593402,"11,166.13",,HT000040288,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,26593402,"5,521.66",,HT000040288,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,26593402,"5,760.75",,HT000040288,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,26593398,140,,HT000040284,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,26593398,"51,851.68",,HT000040284,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,26593398,790,,HT000040284,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,26593398,"4,885.79",,HT000040284,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,26593400,"72,579.10",,HT000040286,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,26593400,"2,989.42",,HT000040286,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,26593400,"3,229.23",,HT000040286,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,26593400,350,,HT000040286,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,26593400,"4,808.33",,HT000040286,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,26593400,"6,398.11",,HT000040286,,
Department of Health,NHS East & North Hertfordshire CCG,28/02/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,26069869,"1,414,983.75",654910528,70022145,,paid Mar inv Mar
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,CANDOUR CARE SERVICES,26484468,"32,351.25",,500A,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CASTLEGATE SURGERY HERTFORD,26593410,420,,HT000040296,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CASTLEGATE SURGERY HERTFORD,26593410,"51,297.79",,HT000040296,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CASTLEGATE SURGERY HERTFORD,26593410,107.76,,HT000040296,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,CASTLEGATE SURGERY HERTFORD,26593410,923.04,,HT000040296,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,CASTLEGATE SURGERY HERTFORD,26593410,"2,232.38",,HT000040296,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CASTLEGATE SURGERY HERTFORD,26593410,"4,522.97",,HT000040296,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,26593404,"96,490.39",,HT000040290,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,26593404,303.89,,HT000040290,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,26593404,"3,716.82",,HT000040290,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,26593404,"8,893.85",,HT000040290,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,26244607,"28,536.17",654915415,N0029787,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,26593406,"97,605.45",,HT000040292,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,26593406,637.65,,HT000040292,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,26593406,"3,328.82",,HT000040292,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,26593406,"6,936.58",,HT000040292,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,26593406,"9,240.80",,HT000040292,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY WARE,26593408,"1,680.00",,HT000040294,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY WARE,26593408,"58,134.49",,HT000040294,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY WARE,26593408,841.9,,HT000040294,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY WARE,26593408,"1,479.82",,HT000040294,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY WARE,26593408,"6,129.17",,HT000040294,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY WARE,26593408,"6,780.75",,HT000040294,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY WARE,26593408,"1,700.61",,HT000040294,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY WARE,26593408,38.11,,HT000040294,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,26593412,420,,HT000040298,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,26593412,"52,693.36",,HT000040298,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,26593412,"1,412.19",,HT000040298,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,26593412,"5,150.00",,HT000040298,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,26593412,"5,396.90",,HT000040298,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,26593414,"87,797.65",,HT000040300,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,26593414,"1,451.69",,HT000040300,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,26593414,"8,375.55",,HT000040300,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,26593414,"1,376.94",,HT000040300,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,26593414,"1,230.21",,HT000040300,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,26593417,"1,960.00",,HT000040302,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,26593417,"91,953.72",,HT000040302,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,26593417,"2,803.15",,HT000040302,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS PCO Seniority,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,26593417,"7,281.79",,HT000040302,,
Department of Health,NHS East & North Hertfordshire CCG,31/03/2019,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,26593417,"2,245.83",,HT000040302,,
