Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33424766,"136,842.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP092002
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,33424768,"33,582.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP092004
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,33424783,"215,530.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP092019
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Improvement Grant,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,33571645,"39,985.43",C&M-GMS Prem Improvement Grant,5808
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,33666930,"-24,001.99",C&M-GMS Prem Rates,HT000049572
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,33666930,"-7,963.32",ME-GMS GP Pension EEs,HT000049572
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,33666930,-384,ME-GMS GP Pension EEs Adjustments,HT000049572
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,33666930,"-8,381.28",ME-GMS GP Pension ERs Adjustments,HT000049572
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,33666931,420,C&M-GMS DES Learn Dsblty Hlth Chk,HT000049573
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,33666931,"91,823.69",C&M-GMS Global Sum,HT000049573
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,33666931,"21,990.00",C&M-GMS Prem Actual Rent,HT000049573
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,33666931,"8,883.23",C&M-GMS QOF Aspiration,HT000049573
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,33666935,"96,173.05",C&M-GMS Global Sum,HT000049577
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,33666935,370.54,C&M-GMS Prem Water Rates,HT000049577
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,33666935,"10,360.99",C&M-GMS QOF Aspiration,HT000049577
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,BPAS,33552986,"33,047.07",Clinical&Medical-Voluntary Sector,44918
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33648255,"13,941.83",ME - GMS GP Prior Year ERs,HT000049866
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33648255,"6,053.76",ME-GMS GP Pension EEs Adjustments,HT000049866
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33648255,"6,003.66",ME-GMS GP Pension ERs Adjustments,HT000049866
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33648255,"14,058.18",ME-GMS GP Prior Year EEs,HT000049866
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33666939,"1,120.00",C&M-GMS DES Learn Dsblty Hlth Chk,HT000049583
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33666939,"119,705.32",C&M-GMS Global Sum,HT000049583
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33666939,830.65,C&M-GMS Prem Water Rates,HT000049583
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33666939,"11,061.56",C&M-GMS QOF Aspiration,HT000049583
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33683242,"86,012.05",C&M-GMS Global Sum,HT000049579
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33683242,"6,939.24",C&M-GMS QOF Aspiration,HT000049579
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension AVCs,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33683242,333.56,ME-GMS GP Pension AVCs,HT000049579
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33683242,746.16,ME-GMS GP Pension EEs Adjustments,HT000049579
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33683242,587.08,ME-GMS GP Pension ERs Adjustments,HT000049579
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,33706608,"14,915.41",Cont Care- Adult 100% Fully Funded,TPC018900
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,33706608,"18,644.30",Cont Care- Palliative Care,TPC018900
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BUPA CARE HOMES,33706608,"3,728.86",Cont Care-Physical Disab (65+),TPC018900
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,33666937,"78,095.95",C&M-GMS Global Sum,HT000049581
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,33666937,996.47,C&M-GMS Other FDR Payment,HT000049581
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,33666937,495.56,C&M-GMS Prem Healthcentre Rent,HT000049581
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,33666937,"1,548.05",C&M-GMS Prem Notional Rent,HT000049581
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,33666937,"6,916.11",C&M-GMS QOF Aspiration,HT000049581
Department of Health,NHS East & North Hertfordshire CCG,08/03/2020,Computer Software/License,IT MANAGEMENT TEAM,BYTES SOFTWARE SERVICES LTD,33409888,"26,105.76",Computer Software/License,658095
Department of Health,NHS East & North Hertfordshire CCG,08/03/2020,Computer Software/License,IT MANAGEMENT TEAM,BYTES SOFTWARE SERVICES LTD,33409888,"2,634.32",Computer Software/License,658095
Department of Health,NHS East & North Hertfordshire CCG,08/03/2020,Computer Software/License,IT MANAGEMENT TEAM,BYTES SOFTWARE SERVICES LTD,33409888,"5,748.01",Computer Software/License,658095
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,33424770,"1,632,283.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP092006
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,CANDOUR CARE SERVICES,33501441,"32,351.25",Cont Care-Learning Disab(<65),559
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,33666941,"102,143.93",C&M-GMS Global Sum,HT000049585
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,33666941,"49,792.50",C&M-GMS Prem Actual Rent,HT000049585
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,33666941,"9,764.29",C&M-GMS QOF Aspiration,HT000049585
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,33424771,"31,869.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP092007
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33666942,"-15,069.94",ME - GMS GP Prior Year ERs,HT000049586
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33666942,"-4,382.45",ME-GMS GP Pension EEs,HT000049586
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33666942,-815.63,ME-GMS GP Pension EEs Adjustments,HT000049586
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33666942,"-5,820.90",ME-GMS GP Pension ERs Adjustments,HT000049586
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33666942,"-13,357.03",ME-GMS GP Prior Year EEs,HT000049586
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33666943,"101,796.50",C&M-GMS Global Sum,HT000049587
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33666943,"9,703.04",C&M-GMS QOF Aspiration,HT000049587
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33666943,"13,323.99",ME - GMS GP Prior Year ERs,HT000049587
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33666943,120.82,ME-GMS GP Pension EEs Adjustments,HT000049587
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33666943,"12,283.60",ME-GMS GP Prior Year EEs,HT000049587
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,33666944,"57,928.05",C&M-GMS Global Sum,HT000049588
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,33666944,"5,866.07",C&M-GMS QOF Aspiration,HT000049588
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33666946,"93,095.43",C&M-GMS Global Sum,HT000049590
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33666946,"8,612.87",C&M-GMS QOF Aspiration,HT000049590
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,33666948,"97,146.26",C&M-GMS Global Sum,HT000049592
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,33666948,"17,375.00",C&M-GMS Prem Actual Rent,HT000049592
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,33666948,"11,494.25",C&M-GMS QOF Aspiration,HT000049592
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,33666948,"3,499.51",ME - GMS GP Prior Year ERs,HT000049592
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,33666948,"3,339.15",ME-GMS GP Prior Year EEs,HT000049592
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,33424772,"21,757,227.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP092008
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,33424773,"2,195,350.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP092009
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,EPHEDRA HEALTHCARE LTD,33412647,"40,690.83",Clinical&Medical-Clinical Other,FSEN08200008
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ESSEX PARTNERSHIP UNIVERSITY NHS FT,33424774,"79,387.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP092010
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Cont Care- Adult 100% Fully Funded,CLINICAL ASSESSMENT AND TREATMENT CENTRES,FINECARE HOMES (STEVENAGE),33501463,"63,771.43",Cont Care- Adult 100% Fully Funded,D2AAUG2020
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,33666949,"72,400.51",C&M-GMS Global Sum,HT000049594
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,33666949,"1,514.35",C&M-GMS Other FDR Payment,HT000049594
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,33666949,"6,455.00",C&M-GMS PCO Other,HT000049594
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,33666949,"6,228.89",C&M-GMS QOF Aspiration,HT000049594
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,33666949,134.25,ME - GMS GP Prior Year ERs,HT000049594
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,33666949,405.37,ME-GMS GP Prior Year EEs,HT000049594
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,33666951,"53,811.11",C&M-GMS Global Sum,HT000049596
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,33666951,"7,050.00",C&M-GMS Prem Actual Rent,HT000049596
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,33666951,"4,914.86",C&M-GMS QOF Aspiration,HT000049596
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,33666951,"1,551.24",ME-GMS GP Pension EEs Adjustments,HT000049596
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,33666951,"1,042.56",ME-GMS GP Pension ERs Adjustments,HT000049596
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,GENERATING HEALTHCARE LTD,33412648,"42,593.18",Clinical&Medical-Clinical Other,FSEN08200009
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,33424775,"68,193.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP092011
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,33424776,"178,420.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP092012
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,33666953,"69,834.39",C&M-GMS Global Sum,HT000049598
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,33666953,"2,958.30",C&M-GMS PCO Doctors Ret Scheme,HT000049598
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,33666953,"46,545.00",C&M-GMS Prem Actual Rent,HT000049598
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,33666953,"7,208.69",C&M-GMS QOF Aspiration,HT000049598
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,33666955,"-5,227.05",ME - GMS GP Prior Year ERs,HT000049600
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,33666955,"-1,075.84",ME - GMS TPS Added Years Adj EEs,HT000049600
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,33666955,"-12,085.42",ME-GMS GP Pension EEs,HT000049600
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,33666955,"-12,153.02",ME-GMS GP Pension ERs Adjustments,HT000049600
Department of Health,NHS East & North Hertfordshire CCG,8/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,33666955,"-4,907.17",ME-GMS GP Prior Year EEs,HT000049600
