Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (œ),VAT registration number,Purchase invoice number
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,1828210,"-43,403.50",,HT000004937
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,1828211,"100,655.24",,HT000004938
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1635839,"805,992.15",,70010147
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1833268,"94,339.89",,80134831
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,1828216,"25,446.64",,HT000004943
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,1828216,643.7,,HT000004943
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1635827,"14,890,068.00",,4098807
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1635832,"79,797.00",,4098826
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,1635818,"1,298,125.00",,821128
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,1783589,"33,917.00",,821669
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS TRUST,1677722,"74,512.58",,X0107872
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,1612834,"127,208.00",,3123621
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,HERTFORDSHIRE COMMUNITY NHS TRUST,1692325,"90,186.76",,28007165
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,1706947,"2,423,201.00",,28007195
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,NON RECURRENT PROGRAMMES,HERTFORDSHIRE COMMUNITY NHS TRUST,1783515,"32,499.17",,28007170
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Othe Public Sector,CARERS,HERTFORDSHIRE COUNTY COUNCIL,1858849,"68,665.00",,1801463149
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Social Care-ICES,COMMUNITY SERVICES,HERTFORDSHIRE COUNTY COUNCIL,1858861,"408,731.00",,1801463076
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,1858908,"158,186.00",,1801463147
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Oth-NHS,PROGRAMME PROJECTS,HERTS URGENT CARE,1677784,"127,337.00",,2194
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Oth-NHS,PROGRAMME PROJECTS,HERTS URGENT CARE,1677795,"320,330.35",,2196
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Oth-NHS,PROGRAMME PROJECTS,HERTS URGENT CARE,1677804,"95,527.80",,2200
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1612558,"86,875.00",,H0091125
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1677713,"78,765.00",,H0093102
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,COLLABORATIVE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1677877,"86,875.00",,H0093165
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1692054,"78,765.00",,H0091124
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,1828229,274.75,,HT000004956
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,KING GEORGE SURGERY,1828229,"34,329.19",,HT000004956
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1707090,"27,145.00",,187575
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Oth-NHS-Contract Cost per Case,COMMISSIONING - NON ACUTE,MARIE STOPES INTERNATIONAL,1706454,"60,514.00",,MS130864
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,MARIE STOPES INTERNATIONAL,1858546,"60,279.00",,MS131787
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,MID ESSEX HOSPITALS SERVICES NHS TRUST,1677838,"84,214.00",,ME2000080117
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,1677751,"198,113.00",,C0017972
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,1828238,"-87,161.58",,HT000004965
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,MUCH HADHAM HLTH CNTRE,1828239,"175,709.49",,HT000004966
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS CCG-Non Contract,BUSINESS INFORMATICS,NHS BEDFORDSHIRE CCG,1677853,"81,236.00",,7020700068
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS CCG-Non Contract,BUSINESS INFORMATICS,NHS BEDFORDSHIRE CCG,1692228,"83,522.00",,7020700076
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,LOCAL ENHANCED SERVICES,NHS COMMISSIONING BOARD,1816681,"71,578.50",,7000003097
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Charges from CSU,CORPORATE COSTS & SERVICES,NHS HERTFORDSHIRE INTEGRATED CSU,1623683,"227,838.54",,7311100127
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,NHS HERTS VALLEYS CCG,1601533,"7,430,524.91",,7021200014
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Cont Care- Children,CHC CHILDREN,NHS HERTS VALLEYS CCG,1601545,"308,633.64",,7021200015
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1612801,"191,550.00",,20548
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1706835,"52,925.00",,20796
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,NORTH WEST LONDON HOSPITALS NHS TRUST,1692159,"49,962.43",,I0152532
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,COLLABORATIVE COMMISSIONING,OXFORD FERTILITY UNIT,1870223,"129,060.00",,OFUEOE9065
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,1845065,"104,706.00",,I0081650
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,1677817,"287,738.86",,ENHCCGPINERIVSPRINVFINAUG
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,PINEHILL HOSPITAL,1692293,"793,388.00",,ENHCCGPINNOV13
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1692086,"3,728,750.00",,BL130801
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1706783,"520,000.00",,BL130724
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,1677563,"161,570.00",,I0162625
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,1783256,"95,542.49",,I0160664
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,1677498,"-140,908.00",,39035
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,1677666,"-170,073.00",,39248
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL FREE LONDON NHS FOUNDATION TRUST,1783507,"434,755.00",,1328160
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,1623697,"262,387.00",,B0023146
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,1728919,"34,234.00",,B0023241
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,SOUTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,1783370,"39,308.00",,I0036511
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,SOUTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,1783479,"39,308.00",,I0036948
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,1612824,"142,240.95",,06K300613RECBSH
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,1692169,"82,589.00",,06K011113PFBSH
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1660369,"48,933.54",,202892
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1660381,"492,621.87",,202982
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,1828261,"-47,164.20",,HT000004988
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WATTON PLACE CLINIC,1828262,"96,621.51",,HT000004989
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1783332,"61,893.00",,214700
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Over/ Under Performance,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1783426,"36,386.00",,215586
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1870231,"189,768.00",,215508
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,1828257,"40,107.47",,HT000004984
Department of Health,NHS East & North Hertfordshire CCG,30/11/2013,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,WHITWELL SURGERY,1828257,"1,585.70",,HT000004984
,,,,,,,,,
,,,,,,,"41,800,000.11",,
