Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,33352989,"51,906.01",C&M-GMS Cost of Drugs -Dispensing,HT000049456
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,33352989,"10,035.76",C&M-GMS Prof Fees Dispensing,HT000049456
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,33352989,"1,619.55",C&M-GMS PrscrptnChrgsColl&RmttdbyGP,HT000049456
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,33333079,"8,131.48",C&M-GMS DES Minor Surgery,HT000049340
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,33333079,"126,913.84",C&M-GMS Global Sum,HT000049340
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,33333079,263.94,C&M-GMS Prem Water Rates,HT000049340
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,33103879,"49,231.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP082001
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,33103882,"136,842.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP082002
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),33006340,"64,928.89",C&M-GMS GP Statutory Levy,107014-01-JUL-2020
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),33006340,"6,942.87",C&M-GMS Voluntary Levy,107014-01-JUL-2020
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),33006340,"3,670.24",C&M-PMS GP Statutory Levy,107014-01-JUL-2020
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),33006340,-860.22,C&M-PMS Voluntary Levy,107014-01-JUL-2020
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,33103890,"33,582.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP082004
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,33103918,"215,530.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP082019
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,33332995,700.64,C&M-GMS DES Minor Surgery,HT000049252
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,33332995,"91,823.69",C&M-GMS Global Sum,HT000049252
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,33332999,"1,707.86",C&M-GMS DES Minor Surgery,HT000049256
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,33332999,"96,173.05",C&M-GMS Global Sum,HT000049256
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,33332999,"7,232.88",C&M-GMS PCO Locum Adop/Pat/Mat,HT000049256
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,33332999,267.51,C&M-GMS QOF Aspiration,HT000049256
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,BPAS,33154743,"27,792.77",Clinical&Medical-Voluntary Sector,44688
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS LES Care of Older People,REABLEMENT,BRIDGE COTTAGE SURGERY,33024063,"25,852.50",C&M-GMS LES Care of Older People,FSEN07200108
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33333004,"-13,941.83",ME - GMS GP Prior Year ERs,HT000049261
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33333004,"-8,599.69",ME-GMS GP Pension EEs,HT000049261
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33333004,"-6,053.76",ME-GMS GP Pension EEs Adjustments,HT000049261
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33333004,"-14,878.54",ME-GMS GP Pension ERs Adjustments,HT000049261
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33333004,"-14,058.18",ME-GMS GP Prior Year EEs,HT000049261
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33333005,"1,678.63",C&M-GMS DES Minor Surgery,HT000049262
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,33333005,"119,705.32",C&M-GMS Global Sum,HT000049262
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33333000,"-2,451.69",ME - GMS GP Prior Year ERs,HT000049257
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33333000,-625.52,ME - GMS TPS Added Years Adj EEs,HT000049257
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33333000,"-7,513.42",ME-GMS GP Pension EEs,HT000049257
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33333000,"-2,460.39",ME-GMS GP Pension EEs Adjustments,HT000049257
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33333000,"-9,919.79",ME-GMS GP Pension ERs Adjustments,HT000049257
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33333000,"-2,301.66",ME-GMS GP Prior Year EEs,HT000049257
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33333001,"1,284.64",C&M-GMS DES Minor Surgery,HT000049258
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,33333001,"86,012.05",C&M-GMS Global Sum,HT000049258
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,33033635,"10,825.71",Cont Care- Adult 100% Fully Funded,TPC018874
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,33033635,"21,651.43",Cont Care- Palliative Care,TPC018874
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BUPA CARE HOMES,33033635,"3,608.57",Cont Care-Physical Disab (65+),TPC018874
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,33333003,934.24,C&M-GMS DES Minor Surgery,HT000049260
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,33333003,"78,095.95",C&M-GMS Global Sum,HT000049260
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,33333003,996.47,C&M-GMS Other FDR Payment,HT000049260
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,33333003,"15,165.63",C&M-GMS PCO Locum Adop/Pat/Mat,HT000049260
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Computer Software/License,CORPORATE COSTS & SERVICES,BYTES SOFTWARE SERVICES LTD,33265034,"1,737.32",Computer Software/License,651197
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Computer Software/License,CORPORATE COSTS & SERVICES,BYTES SOFTWARE SERVICES LTD,33265034,"7,946.44",Computer Software/License,651197
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Computer Software/License,CORPORATE COSTS & SERVICES,BYTES SOFTWARE SERVICES LTD,33265034,"1,605.12",Computer Software/License,651197
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Computer Software/License,CORPORATE COSTS & SERVICES,BYTES SOFTWARE SERVICES LTD,33265034,"10,948.20",Computer Software/License,651197
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Computer Software/License,CORPORATE COSTS & SERVICES,BYTES SOFTWARE SERVICES LTD,33265034,"4,447.42",Computer Software/License,651197
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Computer Hardware Purch,ADHOC BUSINESS,CAE TECHNOLOGY SERVICES LTD,33384472,"33,503.00",Computer Hardware Purch,254947
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Computer Hardware Purch,ADHOC BUSINESS,CAE TECHNOLOGY SERVICES LTD,33384472,"6,700.60",Computer Hardware Purch,254947
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,33103894,"1,632,283.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP082006
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,CANDOUR CARE SERVICES,33178934,"32,351.25",Cont Care-Learning Disab(<65),556
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,33333007,"1,824.58",C&M-GMS DES Minor Surgery,HT000049264
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,33333007,"102,143.93",C&M-GMS Global Sum,HT000049264
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,33333007,"18,002.16",C&M-GMS PCO Locum Sickness,HT000049264
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,33333007,"5,237.00",C&M-GMS PCO Other,HT000049264
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,33333007,613.58,C&M-GMS Prem Water Rates,HT000049264
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,33333007,"3,424.81",ME - GMS GP Prior Year ERs,HT000049264
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,33333007,"2,716.87",ME-GMS GP Prior Year EEs,HT000049264
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,33103895,"31,869.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP082007
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS LES Care of Older People,REABLEMENT,CHURCH STREET SURGERY BISHOPS STORT,33024096,"25,422.76",C&M-GMS LES Care of Older People,FSEN07200124
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33333008,"-13,467.52",C&M-GMS Prem Rates,HT000049265
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33333008,"-6,071.49",ME - GMS GP Prior Year ERs,HT000049265
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33333008,"-4,382.45",ME-GMS GP Pension EEs,HT000049265
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33333008,"-2,442.72",ME-GMS GP Pension EEs Adjustments,HT000049265
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33333008,"-7,762.20",ME-GMS GP Pension ERs Adjustments,HT000049265
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33333008,"-5,458.99",ME-GMS GP Prior Year EEs,HT000049265
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33333009,"1,138.70",C&M-GMS DES Minor Surgery,HT000049266
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33333009,"101,796.50",C&M-GMS Global Sum,HT000049266
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS PCO Locum Sickness,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33333009,"1,331.52",C&M-GMS PCO Locum Sickness,HT000049266
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33333009,"5,308.32",ME - GMS GP Prior Year ERs,HT000049266
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,33333009,"4,902.45",ME-GMS GP Prior Year EEs,HT000049266
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,33333010,481.69,C&M-GMS DES Minor Surgery,HT000049268
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,33333010,"57,928.05",C&M-GMS Global Sum,HT000049268
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,33333010,761.37,C&M-GMS Prem Healthcentre Rent,HT000049268
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33333011,"-9,174.21",ME - GMS GP Prior Year ERs,HT000049269
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33333011,"-2,935.25",ME-GMS GP Pension EEs,HT000049269
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33333011,"-2,524.50",ME-GMS GP Pension EEs Adjustments,HT000049269
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33333011,"-6,770.58",ME-GMS GP Pension ERs Adjustments,HT000049269
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33333011,"-8,295.75",ME-GMS GP Prior Year EEs,HT000049269
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33333012,"2,233.48",C&M-GMS DES Minor Surgery,HT000049270
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33333012,"93,095.43",C&M-GMS Global Sum,HT000049270
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33333012,16.56,C&M-GMS QOF Aspiration,HT000049270
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33333012,"4,579.54",ME - GMS GP Prior Year ERs,HT000049270
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,33333012,"3,524.95",ME-GMS GP Prior Year EEs,HT000049270
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,33333014,"6,203.94",C&M-GMS DES Minor Surgery,HT000049272
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,33333014,"97,146.26",C&M-GMS Global Sum,HT000049272
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,33333014,"5,239.66",C&M-GMS PCO Locum Adop/Pat/Mat,HT000049272
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,DOLPHIN HOUSE SURGERY,33357778,"26,668.50",Clinical&Medical-Independent Sector,06-Jul-20
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,PREPYMT OVERSEAS NON EEA PATIENTS,BALANCE SHEET,EAST AND NORTH HERTFORDSHIRE NHS TRUST,33100580,"50,332.21",PREPYMT OVERSEAS NON EEA PATIENTS,4168032
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,33103897,"21,757,227.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP082008
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,33103899,"2,195,350.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP082009
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Hcare Srv Rec NHS Trust-Prior Year,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,33384201,"42,157.63",Hcare Srv Rec NHS Trust-Prior Year,8119869
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,External Consultancy Fees,ADHOC BUSINESS,EMBER SERVICES LTD,33292762,"22,809.00",External Consultancy Fees,1472
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,External Consultancy Fees,ADHOC BUSINESS,EMBER SERVICES LTD,33292762,"4,561.80",External Consultancy Fees,1472
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,EPHEDRA HEALTHCARE LTD,33061828,"40,690.83",Clinical&Medical-Clinical Other,FSEN07200346
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ESSEX PARTNERSHIP UNIVERSITY NHS FT,33103901,"79,387.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP082010
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,Cont Care- Adult 100% Fully Funded,CLINICAL ASSESSMENT AND TREATMENT CENTRES,FINECARE HOMES (STEVENAGE),33080455,"63,771.43",Cont Care- Adult 100% Fully Funded,ECJUL2020
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,33333016,"2,496.30",C&M-GMS DES Minor Surgery,HT000049274
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,33333016,"72,400.51",C&M-GMS Global Sum,HT000049274
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,33333016,"1,514.35",C&M-GMS Other FDR Payment,HT000049274
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,33333018,87.58,C&M-GMS DES Minor Surgery,HT000049276
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,33333018,"53,811.11",C&M-GMS Global Sum,HT000049276
Department of Health,NHS East & North Hertfordshire CCG,7/31/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,33333018,417.05,C&M-GMS Prem Water Rates,HT000049276
