Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,35419962,"62,026.97",C&M-GMS Global Sum,HT000052307
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,35419962,210.01,C&M-GMS Prem Water Rates,HT000052307
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,35438755,"-34,319.56",C&M-GMS Cost of Drugs -Dispensing,HT000052597
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,35438755,"-2,104.50",C&M-GMS PrscChrgsCll&RmttdbyGPCntra,HT000052597
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,35438756,"53,612.27",C&M-GMS Cost of Drugs -Dispensing,HT000052598
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,ASHWELL SURGERY,35438756,"13,662.25",C&M-GMS Prof Fees Dispensing,HT000052598
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,35438756,"2,104.50",C&M-GMS PrscrptnChrgsColl&RmttdbyGP,HT000052598
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Computer Network Costs,IT NETWORK & TELECOMS,ASSURED DATA PROTECTION LTD,35287366,"172,000.00",Computer Network Costs,SI2907
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Computer Network Costs,IT NETWORK & TELECOMS,ASSURED DATA PROTECTION LTD,35287366,"34,400.00",Computer Network Costs,SI2907
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,35420084,140,C&M-GMS DES Learn Dsblty Hlth Chk,HT000052396
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,35420084,"8,131.48",C&M-GMS DES Minor Surgery,HT000052396
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,35420084,"127,678.46",C&M-GMS Global Sum,HT000052396
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,35420084,791.07,C&M-GMS Prem Water Rates,HT000052396
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,35438801,"28,269.33",C&M-GMS Cost of Drugs -Dispensing,HT000052643
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,35438801,"4,625.67",C&M-GMS Prof Fees Dispensing,HT000052643
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,35438801,457.5,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,HT000052643
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,35225533,"49,231.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP022101
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,35225534,"136,842.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP022102
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),35141581,"64,706.29",C&M-GMS GP Statutory Levy,107255-29-DEC-2020
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),35141581,"4,411.86",C&M-GMS Voluntary Levy,107255-29-DEC-2020
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-PMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),35141581,"2,526.81",C&M-PMS GP Statutory Levy,107255-29-DEC-2020
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,BEDFORDSHIRE AND HERTFORDSHIRE LMC LTD (STAT LEVY),35141581,172.29,C&M-PMS Voluntary Levy,107255-29-DEC-2020
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,35225536,"33,582.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP022104
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,35225547,"215,530.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP022115
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,35419964,"2,240.00",C&M-GMS DES Learn Dsblty Hlth Chk,HT000052309
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,35419964,525.48,C&M-GMS DES Minor Surgery,HT000052309
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,35419964,"91,622.90",C&M-GMS Global Sum,HT000052309
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,35419972,140,C&M-GMS DES Learn Dsblty Hlth Chk,HT000052313
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,35419972,394.11,C&M-GMS DES Minor Surgery,HT000052313
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,35419972,"96,131.18",C&M-GMS Global Sum,HT000052313
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,35419972,82.15,C&M-GMS Prem Water Rates,HT000052313
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,35419972,267.51,C&M-GMS QOF Aspiration,HT000052313
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,BPAS,35387369,"40,326.01",Clinical&Medical-Voluntary Sector,46033
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,35419983,175.16,C&M-GMS DES Minor Surgery,HT000052319
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,35419983,"119,250.30",C&M-GMS Global Sum,HT000052319
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,35419976,"1,284.64",C&M-GMS DES Minor Surgery,HT000052315
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,35419976,"84,231.66",C&M-GMS Global Sum,HT000052315
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,35405957,"17,335.30",Cont Care- Adult 100% Fully Funded,TPC019118
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,35405957,"16,337.56",Cont Care- Palliative Care,TPC019118
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BUPA CARE HOMES,35405957,"3,741.43",Cont Care-Physical Disab (65+),TPC019118
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,35419979,131.39,C&M-GMS DES Minor Surgery,HT000052317
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,35419979,"78,527.19",C&M-GMS Global Sum,HT000052317
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,35419979,996.47,C&M-GMS Other FDR Payment,HT000052317
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,35225537,"1,632,283.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP022105
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,CANDOUR CARE SERVICES,35405976,"32,351.25",Cont Care-Learning Disab(<65),573
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Clinical&Medical-Devolved Admin'n,NCAS/OATS,CARDIFF AND VALE ULHB,35209892,"66,030.00",Clinical&Medical-Devolved Admin'n,525912
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Computer Hardware Purch,IT NETWORK & TELECOMS,CDW,35393741,"48,752.46",Computer Hardware Purch,PSINV03015862
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Computer Hardware Purch,IT NETWORK & TELECOMS,CDW,35393741,"9,964.20",Computer Hardware Purch,PSINV03015862
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Computer Hardware Purch,IT NETWORK & TELECOMS,CDW,35393741,"7,160.56",Computer Hardware Purch,PSINV03015862
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Computer Hardware Purch,IT NETWORK & TELECOMS,CDW,35393741,"13,175.44",Computer Hardware Purch,PSINV03015862
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,35419986,"1,824.58",C&M-GMS DES Minor Surgery,HT000052321
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,35419986,"102,748.94",C&M-GMS Global Sum,HT000052321
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,35419986,543.37,C&M-GMS Prem Water Rates,HT000052321
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,35419992,306.55,C&M-GMS DES Minor Surgery,HT000052323
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,35419992,"101,430.83",C&M-GMS Global Sum,HT000052323
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,35419992,"3,001.32",C&M-GMS Prem Actual Rent,HT000052323
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,35419992,205.97,C&M-GMS Prem Healthcentre Rent,HT000052323
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,35419992,148.18,C&M-GMS Prem Water Rates,HT000052323
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,35419995,980,C&M-GMS DES Learn Dsblty Hlth Chk,HT000052325
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,35419995,481.69,C&M-GMS DES Minor Surgery,HT000052325
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,35419995,"57,373.13",C&M-GMS Global Sum,HT000052325
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,35419999,613.06,C&M-GMS DES Minor Surgery,HT000052327
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,35419999,"93,221.89",C&M-GMS Global Sum,HT000052327
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,35419999,16.56,C&M-GMS QOF Aspiration,HT000052327
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35420003,"2,520.00",C&M-GMS DES Learn Dsblty Hlth Chk,HT000052329
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35420003,"4,817.54",C&M-GMS DES Minor Surgery,HT000052329
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,35420003,"97,398.22",C&M-GMS Global Sum,HT000052329
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,35225538,"21,757,227.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP022106
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,35225539,"2,195,350.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP022107
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Hcare Srv Rec NHS Trust-Prior Year,PATIENT TRANSPORT,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,35472305,"-81,890.00",Hcare Srv Rec NHS Trust-Prior Year,8122001
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Travel Booking Services,PATIENT TRANSPORT,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,35474520,"26,331.00",Travel Booking Services,8121994
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,35443756,"64,922.52",Computer Maintenance,EMINV029482
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,35467039,"93,041.21",Computer Maintenance,EMINV029481
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,35467040,"97,233.14",Computer Maintenance,EMINV029480
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Miscellaneous Expenditure (L9),LOCAL ENHANCED SERVICES,EPHEDRA HEALTHCARE LTD,35168584,"100,000.00",Miscellaneous Expenditure (L9),WP1PP2020
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Clinical&Medical-Clinical Other,GP FORWARD VIEW,EPHEDRA HEALTHCARE LTD,35241368,"40,690.83",Clinical&Medical-Clinical Other,FSEN01210006
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Clinical&Medical-Clinical Other,PRC DELEGATED CO-COMMISSIONING,EPHEDRA HEALTHCARE LTD,35322389,"26,493.50",Clinical&Medical-Clinical Other,FSEN01210033
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ESSEX PARTNERSHIP UNIVERSITY NHS FT,35225540,"79,387.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP022108
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,FINECARE HOMES (STEVENAGE),35248524,"63,771.43",Cont Care- Adult 100% Fully Funded,D2AJAN2021
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,35420006,"2,496.30",C&M-GMS DES Minor Surgery,HT000052331
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,35420006,"74,004.16",C&M-GMS Global Sum,HT000052331
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,35420006,"1,514.35",C&M-GMS Other FDR Payment,HT000052331
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,35420010,87.58,C&M-GMS DES Minor Surgery,HT000052333
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,35420010,"54,428.63",C&M-GMS Global Sum,HT000052333
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,35420010,123.77,C&M-GMS Prem Water Rates,HT000052333
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,35420010,346.52,C&M-GMS QOF Aspiration,HT000052333
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,GARDEN HOUSE HOSPICE,35312704,"111,021.25",Cont Care- Adult 100% Fully Funded,1341
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,GARDEN HOUSE HOSPICE,35312708,"222,042.50",Cont Care- Adult 100% Fully Funded,1340
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Clinical&Medical-Clinical Other,GP FORWARD VIEW,GENERATING HEALTHCARE LTD,35241370,"42,593.18",Clinical&Medical-Clinical Other,FSEN01210007
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS PCN DES PCN support,GP FORWARD VIEW,GENERATING HEALTHCARE LTD,35310315,"35,660.85",C&M-GMS PCN DES PCN support,FSEN01210015
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,35225541,"68,193.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP022109
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,35225542,"178,420.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP022110
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS PCN DES PCN support,GP FORWARD VIEW,HAILEY VIEW SURGERY,35310333,"27,723.64",C&M-GMS PCN DES PCN support,FSEN01210017
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,35420014,"3,640.00",C&M-GMS DES Learn Dsblty Hlth Chk,HT000052335
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,35420014,613.08,C&M-GMS DES Minor Surgery,HT000052335
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,35420014,"71,527.29",C&M-GMS Global Sum,HT000052335
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,35420014,"1,538.40",C&M-GMS PCO Doctors Ret Scheme,HT000052335
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35420016,"-1,075.84",ME - GMS TPS Added Years Adj EEs,HT000052336
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35420016,"-18,084.52",ME-GMS GP Pension EEs,HT000052336
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35420016,"-18,251.51",ME-GMS GP Pension ERs Adjustments,HT000052336
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35420017,"3,474.52",C&M-GMS DES Minor Surgery,HT000052337
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35420017,"117,405.88",C&M-GMS Global Sum,HT000052337
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35420017,"1,046.65",C&M-GMS Prem Water Rates,HT000052337
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,35420017,71.04,C&M-GMS QOF Aspiration,HT000052337
Department of Health,NHS East & North Hertfordshire CCG,31/01/2021,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,35420021,"1,260.00",C&M-GMS DES Learn Dsblty Hlth Chk,HT000052339
