Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Purchase Invoice Number
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,34716521,"126,875.38",C&M-GMS Global Sum,HT000051334
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,34716521,"59,190.00",C&M-GMS Prem Actual Rent,HT000051334
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,34735712,"41,793.18",C&M-GMS Cost of Drugs -Dispensing,HT000051597
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BANCROFT MEDICAL CENTRE,34735712,"2,975.38",C&M-GMS Prof Fees Dispensing,HT000051597
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,BANCROFT MEDICAL CENTRE,34735712,"1,482.30",C&M-GMS PrscrptnChrgsColl&RmttdbyGP,HT000051597
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,34570186,"49,231.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP122001
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,34570187,"136,842.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP122001
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,34648470,"53,782.00",Hcare Srv Rec Fdtn Trust-Prior Year,I0177320
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,34664370,"33,582.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP122001-4
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORDSHIRE HOSPITAL FOUNDATION TRUST,34664371,"215,530.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP122001-15
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,34716435,"2,240.00",C&M-GMS DES Learn Dsblty Hlth Chk,HT000051247
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,34716435,"91,501.31",C&M-GMS Global Sum,HT000051247
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,BEDWELL MEDICAL CENTRE,34716435,"21,990.00",C&M-GMS Prem Actual Rent,HT000051247
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS DES Learn Dsblty Hlth Chk,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,34716439,"3,220.00",C&M-GMS DES Learn Dsblty Hlth Chk,HT000051251
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,34716439,"96,291.75",C&M-GMS Global Sum,HT000051251
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BIRCHWOOD SURGERY,34716439,267.51,C&M-GMS QOF Aspiration,HT000051251
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,BPAS,34580023,"32,889.68",Clinical&Medical-Voluntary Sector,45524
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,34716444,"-6,772.38",ME - GMS GP Prior Year ERs,HT000051256
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,34716444,"-12,087.21",ME-GMS GP Pension EEs,HT000051256
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,34716444,"-11,379.45",ME-GMS GP Pension ERs Adjustments,HT000051256
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,34716444,"-6,324.75",ME-GMS GP Prior Year EEs,HT000051256
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,34716445,"119,191.26",C&M-GMS Global Sum,HT000051257
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,BRIDGE COTTAGE SURGERY,34735669,"31,097.52",C&M-GMS Cost of Drugs -Dispensing,HT000051554
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,BRIDGE COTTAGE SURGERY,34735669,"5,738.66",C&M-GMS Prof Fees Dispensing,HT000051554
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BUNTINGFORD MEDICAL CENTRE,34716441,"86,268.37",C&M-GMS Global Sum,HT000051253
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,34790710,"16,487.16",Cont Care- Adult 100% Fully Funded,TPC018996
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,BUPA CARE HOMES,34790710,"18,557.13",Cont Care- Palliative Care,TPC018996
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BUPA CARE HOMES,34790710,"3,741.43",Cont Care-Physical Disab (65+),TPC018996
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,34716443,"77,817.94",C&M-GMS Global Sum,HT000051255
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,BURVILL HOUSE SURGERY,34716443,996.47,C&M-GMS Other FDR Payment,HT000051255
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Hardware Purch,ADHOC BUSINESS,CAE TECHNOLOGY SERVICES LTD,33384472,"20,325.50",Computer Hardware Purch,254947
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Hardware Purch,ADHOC BUSINESS,CAE TECHNOLOGY SERVICES LTD,33384472,"13,177.50",Computer Hardware Purch,254947
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Network Costs,SERVICE TRANSFORMATION PROJECTS - (A),CAE TECHNOLOGY SERVICES LTD,34432628,"9,071.80",Computer Network Costs,258159
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Network Costs,SERVICE TRANSFORMATION PROJECTS - (A),CAE TECHNOLOGY SERVICES LTD,34432628,"1,724.00",Computer Network Costs,258159
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Network Costs,SERVICE TRANSFORMATION PROJECTS - (A),CAE TECHNOLOGY SERVICES LTD,34432628,"7,221.60",Computer Network Costs,258159
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Network Costs,SERVICE TRANSFORMATION PROJECTS - (A),CAE TECHNOLOGY SERVICES LTD,34432628,139.47,Computer Network Costs,258159
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Network Costs,SERVICE TRANSFORMATION PROJECTS - (A),CAE TECHNOLOGY SERVICES LTD,34432628,92.97,Computer Network Costs,258159
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Network Costs,SERVICE TRANSFORMATION PROJECTS - (A),CAE TECHNOLOGY SERVICES LTD,34432628,"3,528.92",Computer Network Costs,258159
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Network Costs,SERVICE TRANSFORMATION PROJECTS - (A),CAE TECHNOLOGY SERVICES LTD,34432628,"5,572.72",Computer Network Costs,258159
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Network Costs,SERVICE TRANSFORMATION PROJECTS - (A),CAE TECHNOLOGY SERVICES LTD,34432628,"14,396.60",Computer Network Costs,258159
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Network Costs,SERVICE TRANSFORMATION PROJECTS - (A),CAE TECHNOLOGY SERVICES LTD,34432628,141.15,Computer Network Costs,258159
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Network Costs,SERVICE TRANSFORMATION PROJECTS - (A),CAE TECHNOLOGY SERVICES LTD,34432628,141.15,Computer Network Costs,258159
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Network Costs,SERVICE TRANSFORMATION PROJECTS - (A),CAE TECHNOLOGY SERVICES LTD,34432628,"8,406.08",Computer Network Costs,258159
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,34570189,"1,632,283.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP122001
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,CANDOUR CARE SERVICES,34438897,"32,351.25",Cont Care-Learning Disab(<65),563
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,34716447,"102,282.46",C&M-GMS Global Sum,HT000051259
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CHELLS WAY SURGERY,34716447,"49,792.50",C&M-GMS Prem Actual Rent,HT000051259
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CHURCH STREET SURGERY BISHOPS STORT,34716449,"101,685.60",C&M-GMS Global Sum,HT000051261
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CROMWELL MEDICAL CENTRE,34716450,"57,800.94",C&M-GMS Global Sum,HT000051262
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,34716452,"93,129.52",C&M-GMS Global Sum,HT000051264
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,34716452,16.56,C&M-GMS QOF Aspiration,HT000051264
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,34716452,33.35,ME - GMS GP Prior Year ERs,HT000051264
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,CUFFLEY & GOFFS OAK MEDICAL PRACTICE,34716452,21.55,ME-GMS GP Prior Year EEs,HT000051264
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,DOLPHIN HOUSE SURGERY,34620311,"26,668.50",Clinical&Medical-Independent Sector,11-Nov-20
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,34716454,"97,069.58",C&M-GMS Global Sum,HT000051266
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,DOLPHIN HOUSE SURGERY,34716454,"17,375.00",C&M-GMS Prem Actual Rent,HT000051266
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,34570190,"21,757,227.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP122001
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,34570191,"2,195,350.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP122001
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,34580017,"64,922.52",Computer Maintenance,EMINV028645
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,34633734,"97,233.14",Computer Maintenance,EMINV028643
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Computer Maintenance,CCG-IT PROGRAMME,EGTON MEDICAL INFORMATION SYSTEMS LTD,34633735,"93,041.21",Computer Maintenance,EMINV028644
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,EPHEDRA HEALTHCARE LTD,34554951,"40,690.83",Clinical&Medical-Clinical Other,FSEN1120006
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,ESSEX PARTNERSHIP UNIVERSITY NHS FT,34570192,"79,387.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP122001
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Cont Care- Adult 100% Fully Funded,CLINICAL ASSESSMENT AND TREATMENT CENTRES,FINECARE HOMES (STEVENAGE),34790712,"61,714.29",Cont Care- Adult 100% Fully Funded,D2ANOV2020
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,G L HEARN MANAGEMENT LTD,34735734,"339,673.36",C&M-GMS Prem Rates,FSEN1120314
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,34716456,"72,853.92",C&M-GMS Global Sum,HT000051268
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY PRACTICE,34716456,"1,514.35",C&M-GMS Other FDR Payment,HT000051268
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,34716458,"54,143.00",C&M-GMS Global Sum,HT000051270
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,34716458,"7,050.00",C&M-GMS Prem Actual Rent,HT000051270
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,GARDEN CITY SURGERY,34716458,346.52,C&M-GMS QOF Aspiration,HT000051270
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Clinical Other,GP FORWARD VIEW,GENERATING HEALTHCARE LTD,34554952,"42,593.18",Clinical&Medical-Clinical Other,FSEN1120007
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,34570193,"68,193.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP122001
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,34570194,"178,420.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP122001
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Miscellaneous Expenditure (L9),LOCAL ENHANCED SERVICES,HAILEY VIEW SURGERY,34648549,"42,284.00",Miscellaneous Expenditure (L9),HABPCN0031
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,34716460,"71,019.77",C&M-GMS Global Sum,HT000051272
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,34716460,307.68,C&M-GMS PCO Doctors Ret Scheme,HT000051272
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HAILEY VIEW SURGERY,34716460,"46,545.00",C&M-GMS Prem Actual Rent,HT000051272
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME - GMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,34716461,"-1,075.84",ME - GMS TPS Added Years Adj EEs,HT000051273
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,34716461,"-12,085.42",ME-GMS GP Pension EEs,HT000051273
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,34716461,"-12,153.02",ME-GMS GP Pension ERs Adjustments,HT000051273
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,34716462,"118,003.03",C&M-GMS Global Sum,HT000051274
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,HALL GROVE SURGERY,34716462,71.04,C&M-GMS QOF Aspiration,HT000051274
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,34716464,"83,666.61",C&M-GMS Global Sum,HT000051276
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,34716464,559.77,C&M-GMS Prem Water Rates,HT000051276
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,34716464,"2,558.01",ME - GMS GP Prior Year ERs,HT000051276
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME-GMS GP Prior Year AVCs,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,34716464,247.31,ME-GMS GP Prior Year AVCs,HT000051276
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,HANSCOMBE HOUSE SURGERY,34716464,"4,279.35",ME-GMS GP Prior Year EEs,HT000051276
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Cont Care- Prior Year Payments,FUNDED NURSING CARE,HC ONE OVAL LTD,34682124,"44,433.14",Cont Care- Prior Year Payments,STCFNC2019INCREASE
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Cont Care-FNC Client Continence Allow,FUNDED NURSING CARE,HC ONE OVAL LTD,34682129,513.6,Cont Care-FNC Client Continence Allow,STC060691TOSTC060731
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HC ONE OVAL LTD,34682129,"31,686.85",Cont Care-Funded Nursing Care Allow,STC060691TOSTC060731
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,HERTFORDSHIRE COMMUNITY NHS TRUST,34570195,"5,005,175.00",Hcare Srv Rec NHS Trust-Contract Baseline,06KBP122001
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Othe Public Sector,NON RECURRENT PROGRAMMES,HERTFORDSHIRE COUNTY COUNCIL,34488383,"30,875.75",Clinical&Medical-Othe Public Sector,1803152329
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Othe Public Sector,CARERS,HERTFORDSHIRE COUNTY COUNCIL,34530494,"26,922.00",Clinical&Medical-Othe Public Sector,1803156312
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Othe Public Sector,INTERMEDIATE CARE,HERTFORDSHIRE COUNTY COUNCIL,34530494,"81,384.00",Clinical&Medical-Othe Public Sector,1803156312
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,HERTFORDSHIRE COUNTY COUNCIL,34530494,"81,937.00",Cont Care- Adult 100% Fully Funded,1803156312
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Seconded-Basic Sal-Staff fm oth org,OPERATIONS MANAGEMENT,HERTFORDSHIRE COUNTY COUNCIL,34530494,"4,598.00",Seconded-Basic Sal-Staff fm oth org,1803156312
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Soc Care-Other Soc Care,LONG TERM CONDITIONS,HERTFORDSHIRE COUNTY COUNCIL,34530494,"1,199,429.00",Soc Care-Other Soc Care,1803156312
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Othe Public Sector,MENTAL HEALTH SERVICES - OTHER,HERTFORDSHIRE COUNTY COUNCIL,34567640,"1,897,402.00",Clinical&Medical-Othe Public Sector,1803161156
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Othe Public Sector,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE COUNTY COUNCIL,34706679,"196,813.00",Clinical&Medical-Othe Public Sector,1803179753
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,34570196,"7,410,854.00",Hcare Srv Rec Fdtn Trust-Contract Baseline,06KBP122001
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HERTS URGENT CARE,34530567,"171,025.94",Clinical&Medical-Independent Sector,6094
Department of Health,NHS East & North Hertfordshire CCG,11/30/2020,Clinical&Medical-Independent Sector,NHS 111,HERTS URGENT CARE,34530567,"30,986.87",Clinical&Medical-Independent Sector,6094
