Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/12/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,60020994,36072.48,VARIOUS HEALTH CENTRE COSTS DEC 16/17,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF161709,654604,1/12 ESTIMATED ANNUAL CONTRACT VALUE DECEMBER 2016,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC161706,216451.56,SAC ACTIVITIES SEPT 16,
Department of Health,03F,31/12/2016,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HULL CITY COUNCIL,1000228701,58420,LAC THERAPY RECHARGES 15-16 LAC008 LAC022 LAC004,
Department of Health,03F,31/12/2016,Clinical&Medical-Othe Public Sector,REABLEMENT,HULL CITY COUNCIL,1000236080,432305,2016-17 BETTER CARE FUND P9,
Department of Health,03F,31/12/2016,Clinical&Medical-Othe Public Sector,REABLEMENT,HULL CITY COUNCIL,1000236080,432305,2016-17 BETTER CARE FUND P10,
Department of Health,03F,31/12/2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000238775,110137.77,CARE IN THE COMMUNITY RECHARGE NOVEMBER 2016,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,122720,61361.33,NHS ACTIVITY FOR MONTH ENDED 30/11/2016,
Department of Health,03F,31/12/2016,Other professional fees,NON RECURRENT PROGRAMMES,PRICEWATERHOUSECOOPERS LLP,1354621887,87438,PROFESSIONAL SERVICES RELATING TO STRATEGIC COMMISSIONING SUPPORT,
Department of Health,03F,31/12/2016,Other professional fees,NON RECURRENT PROGRAMMES,PRICEWATERHOUSECOOPERS LLP,1354621888,123385.2,PROFESSIONAL SERVICES IN PROVIDING CENTRAL PMO TO THE HCV STP,
Department of Health,03F,31/12/2016,Other professional fees,NON RECURRENT PROGRAMMES,PRICEWATERHOUSECOOPERS LLP,1354623070,286681.2,PROFESSIONAL SERVICES IN SUPPORTING THE CREATION OF AN STP FINANCIAL FRAMEWORK,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,1792,-47430.72,PART CREDIT AGAINST INVOICE 7410014442,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800094646,227497.15,EQUIPMENT PURCHASES AND ACTIVITY 29.10.16 TO 25.11.2016,
Department of Health,03F,31/12/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,2179,37692,"CHC FEES NOVEMBER 2016 2941, 4100, 3458",
Department of Health,03F,31/12/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,2208,38948.4,CHC FEES DEC 2016,
Department of Health,03F,31/12/2016,Other professional fees,NON RECURRENT PROGRAMMES,ATTAIN HEALTH MANAGEMENT SERVICES,2356,29114.3,HUMBER COAST AND VALE STP EXTENSION OCTOBER 2016,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,CHILD AND ADOLESCENT MENTAL HEALTH,BLUE MOUNTAIN HOMES LTD,2679,25774.29,RESPITE SHORT TERM YOUNG PERSON ID LAC036 OCTOBER 2016,
Department of Health,03F,31/12/2016,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,301013282,69834.83,HULL CITY EA INVOICE DEC 16,
Department of Health,03F,31/12/2016,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,EAST RIDING OF YORKSHIRE COUNCIL,38344200,61467,CONTINUING HEALTH CARE RECHARGE PERIODS 4 AND 5 2016,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,LOUTH & DISTRICT MEDICAL SERVICES LTD,460,117939.8,SPECIALIST OLDER PEOPLE CARE CO-ORDINATION PROJECT COST,
Department of Health,03F,31/12/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,48393573,29301.92,WILBERFORCE COURT RENT Q4,
Department of Health,03F,31/12/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48500270,31991.25,RENTAL CHARGES MARMADUKE HC APR 16 - MAR 17,
Department of Health,03F,31/12/2016,Minor Works,ESTATES AND FACILITIES,SEWELL CONSTRUCTION,508290,35123.27,WILBERFORCE COURT OFFICE FIT OUT,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014442,158102.4,SUNSHINE HOUSE OCCUPATIONAL COSTS 2015-16,
Department of Health,03F,31/12/2016,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410016302,47300.58,NIGHT SITS AUGUST 2016,
Department of Health,03F,31/12/2016,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410017250,43154.64,NIGHT SITS OCTOBER 16,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410017447,409540.8,ADDITIONAL DASH ACTIVITY QTR2 2016/17,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410017495,46110.12,RECHARGE ERYCCG FUNDED PERSONAL HEALTH BUDGET OCT 2016,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017557,300000,DECEMBER 2016 INCOME URGENT CARE,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017559,1625000,DECEMBER 2016 INCOME INTEGRATED COMMUNITY SERVICE 2016/17,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017560,109616.66,CONTRACT VARIATION DEC 2016/17,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017563,54166.67,DECEMBER CONTARCTUAL INCOME SEXUAL HEALTH SERVICE 2016/17,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017565,370822.29,DECEMBER 2016 CONTRACTUAL INCOME OUT OF SCOPE 2016/17,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410017569,292448.52,DECEMBER 2016 CONTRACTUAL INCOME DEPRESSION AND ANXIETY ,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,PRIMARY CARE DEVELOPMENT,CITY HEALTH CARE PARTNERSHIP CIC,7410017664,57500,DIGITAL TRANSFORMATION FUNDING ,
Department of Health,03F,31/12/2016,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410017677,44827.58,NOVEMBER 16 NIGHT SITS,
Department of Health,03F,31/12/2016,Chrgs from SLA,PROGRAMME PROJECTS,KIER BUSINESS SERVICES LTD,90220052,159979.64,PROFESSIONAL SERVICES DECEMBER 2016,
Department of Health,03F,31/12/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,DEC16HCCGHS035,136788.16,FIXED PAYMENT MONTH 9 2016,
Department of Health,03F,31/12/2016,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR204,42716.67,CONTRACT FUNDING 2016/17,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
