Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (œ),Description,VAT registration number
Department of Health,03F,31/03/2015,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810008304,53988,111 CONTRACT MARCH 2015,
Department of Health,03F,31/03/2015,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810008332,118422.33,PYS CONTRACT MARCH 2015 EXCLUDING CQUINS,
Department of Health,03F,31/03/2015,Charges from CSU,PROGRAMME PROJECTS,NHS YORKSHIRE AND HUMBER CS,7312401105,52233,GP IT SLA PROGRAMME MARCH 2015,
Department of Health,03F,31/03/2015,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS YORKSHIRE AND HUMBER CS,7312401143,44188,COMMISSIONING SUPPORT PER SLA MARCH 2015 MEDS MANAGEMENT,
Department of Health,03F,31/03/2015,Charges from CSU,FINANCE,NHS YORKSHIRE AND HUMBER CS,7312401150,260687,COMMISSIONING SUPPORT PER SLA MARCH 2015,
Department of Health,03F,31/03/2015,Charges from CSU,CLINICAL GOVERNANCE,NHS YORKSHIRE AND HUMBER CS,7312401177,41107,CLINICAL QUALITY CONTRACT VARIATION - QUALITY AND MATERNITY SLA MID SEPT - MAR 2015,
Department of Health,03F,31/03/2015,Charges from CSU,Service Planning & Reform,NHS YORKSHIRE AND HUMBER CS,7312401270,115250,CONTRACT VARIATION HULL 2020,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HUMBER ALL NATIONS ALLIANCE,3101504,38316,BME MENTAL HEALTH CDW PROJECT 01/01/2015 - 31/03/2015,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F010315PFHUL,419093,PATIENT ACTIVITY MARCH 2015 - SPIRE HULL,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F1415CQUINH1HUL,52187.45,APRIL 2014 - SEPTEMBER 2014 CQUIN STANDARD ACUTE CONTRACT,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F300914RECHUL,223353.23,PROVISIONAL QUARTER 2 RECONCILIATION INVOICE ,
Department of Health,03F,31/03/2015,Clinical&Medical-Othe Public Sector,CARERS,HULL CITY COUNCIL,1000203924,33421.67,CARERS SUPPORT SERVICE JANUARY 2015,
Department of Health,03F,31/03/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000204041,552565.43,CONTINUING HEALTH RECHARGES JANUARY 2015,
Department of Health,03F,31/03/2015,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000204765,123028.56,CARE IN THE COMMUNITY FEBRUARY 2015,
Department of Health,03F,31/03/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000204795,759020.03,CONTINUING HEALTH RECHARGES FEBRUARY 2015,
Department of Health,03F,31/03/2015,Services From Local Authorities,COMMISSIONING,HULL CITY COUNCIL,1000205061,37895.41,CONTRIBUTION TO BED HANSON POST FINANCIAL YEAR 2014/15 ,
Department of Health,03F,31/03/2015,Clinical&Medical-Othe Public Sector,CARERS,HULL CITY COUNCIL,1000205774,33421.67,CARERS SUPPORT SERVICE MARCH 2015,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000205893,123028.56,CARE IN THE COMMUNITY MARCH 2015,
Department of Health,03F,31/03/2015,Services From Local Authorities,INTERPRETING SERVICES,HULL CITY COUNCIL,1000206023,30765.78,INTERPRETING CHARGES JUNE 2013,
Department of Health,03F,31/03/2015,Clinical&Medical-Othe Public Sector,REABLEMENT,HULL CITY COUNCIL,1000206559,1745000,SUPPORTING SOCIAL CARE & REABLEMENT NHS TRANSFER OF FUNDS TO LOCAL AUTHORITIES ,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1345HC14,35088.6,INTERPRETING SERVICE ,
Department of Health,03F,31/03/2015,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1444,68447.4,CARE FEES FEBRUARY 2015,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800091270,187738.8,EQUIPMENT PURCHASES AND ACTIVITY,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800091275,75379.63,EQUIPMENT COSTS FOR WHEELCHAIR SERVICE ADULTS FEB 15,
Department of Health,03F,31/03/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,EAST RIDING OF YORKSHIRE COUNCIL,35069569,185245.16,CONTINUING HEALTH CARE RECHARGE 20/10/2014 - 14/12/2014,
Department of Health,03F,31/03/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,48358021,42817,Q4 2014-2015 RENTAL COST,
Department of Health,03F,31/03/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48358022,77963,Q4 SUBSIDY & VOID INVOICE,
Department of Health,03F,31/03/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,50370912,320385,Q1 SHORTFALL IN FUNDING,
Department of Health,03F,31/03/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,50370914,320385,Q2 SHORTDALL IN FUNDING,
Department of Health,03F,31/03/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,50374567,-124047.24,VOID BOOKABLE AND SUBSIDY COST TO QUARTER 3 2014/15,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410004449,39013.26,AQP PAIN MANAGEMENT MAY 2014,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410004996,59445.94,QTR 1 RECHARGES FOR LONGHILL HEALTH CENTRE,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410004999,35421.16,QTR 1 RECHARGES FOR MARFLEET HEALTH CENTRE,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410005007,58213.9,QTR 1 RECHARGES FOR ORCHARD HEALTH CENTRE,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410005113,59445.94,QTR 2 RECHARGES FOR LONGHILL,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410005115,35421.16,QTR 2 RECHARGES FOR MARFLEET ,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410005125,58213.9,QTR 2 RECHARGES FOR ORCHARD ,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410005625,47018.64,AQP PAIN MANAGEMENT SEPTEMBER 2014,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410005626,35498.96,AQP PAIN MANAGEMENT AUGUST 2014,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410005952,47160.6,AQP PAIN MANAGEMENT OCTOBER 2014,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410005999,85912,CONTRACTUAL INCOME CQUINN ACHIEVED QTR 2 BASED UPON 100% ACHIEVEMENT ,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410006219,39667.47,AQP PAIN MANAGEMENT NOVEMBER 2014,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410006769,293970,FEBRUARY CONTRACTUAL INCOME DEPRESSION AND ANXIETY COMPLETED TREATMENT,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006775,1991972,MARCH 2015 CONTRACTUAL INCOME RECURRENT STANDARD CONTRACT,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006778,46605,MARCH 2015 CONTRACTUAL INCOME NON RECURRENT STANDARD CONTRACT,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006780,328000,CV10 NON RECURRENT FUNDING ,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006782,48180,MARCH 2015 CONTRACTUAL INCOME COMMUNITY PAEDIATRICS ,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006947,103230.54,RUNNING COSTS FOR UNIT 2 PRIORY PARK 01/04/2014 - 31/01/2015,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410006959,200000,PRIMARY CARE DEVELOPMENT ,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410007008,73227,CQUINN ACHIEVED 2014/15 QTR 3 100%,
Department of Health,03F,31/03/2015,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,803Z395,69075,UNREGISTERED PATIENTS REVENUE ,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,881,-54900,CREDIT NOTE - CV10 RECURRENT REDUCTION IN FUNDING,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,HCCGHS00206,137499.83,MSK PAYMENT MARCH 2015,
Department of Health,03F,31/03/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,50378129,166563.4,INVOICE TO CORRECT UNDERCHARGE ON INV 50378018,
Department of Health,03F,31/03/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410007164,372380.05,BALANCE DUE IN RESPECT OF RENTAL CHARGE FOR Q3 AND Q4,
Department of Health,03F,31/03/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,50378018,832817.02,SUBSIDY 14/15,
Department of Health,03F,31/03/2015,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000215,34627,CARE FEES 01/02/2015 - 28/02/2015,
