Department family,Entity,Expense area,Expense Type,Supplier,Transaction number,Date,AP Amount (£),VAT registration number
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,MENTAL HEALTH,JOAN PICKARD LTD,71314,21/11/2013,"50,125.25",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410000424,11/09/2013,"28,038.20",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410000425,11/09/2013,"33,482.99",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410000426,11/09/2013,"27,124.24",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410000427,11/09/2013,"38,563.08",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410000964,24/10/2013,"35,744.93",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410001381,26/11/2013,"45,285.75",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,COMMUNITY HEALTH SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410001756,17/12/2013,"1,943,275.00",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,COMMUNITY HEALTH SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410001757,17/12/2013,"74,725.00",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,COMMUNITY HEALTH SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410001767,17/12/2013,"46,969.00",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,PRIMARY CARE,CITY HEALTH CARE PARTNERSHIP CIC,7410001795,20/12/2013,"41,291.49",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,MENTAL HEALTH,JOAN PICKARD LTD,81314,09/12/2013,"50,142.36",
Department of Health,NHS Hull CCG,Clinical&Medical-Independent Sector,OTHER,AA GLOBAL LANGUAGE SERVICES LTD,875HC04,16/12/2013,"32,741.88",
Department of Health,NHS Hull CCG,Clinical&Medical-Voluntary Sector,HOSPICES ,DOVE HOUSE HOSPICE,FR947,30/04/2013,"46,600.00",
