Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC161707,"£119,352.83",SAC ACTIVITY OCTOBER 2016/17,
Department of Health,03F,31/01/2017,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HOME-START (HULL),420162017,"£27,191.00",HOME START FAMILY SUPPORT SERVICES Q4,
Department of Health,03F,31/01/2017,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,HULL CITY COUNCIL,1000237532,"£40,338.43",LAC015 RECHARGE 01/04/2016-30/09/2016,
Department of Health,03F,31/01/2017,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000240133,"£110,137.77",CARE IN THE COMMUNITY RECHARGE DECEMBER 2016,
Department of Health,03F,31/01/2017,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000240254,"£330,000.00",RECHARGE IN RESPECT OF WINDERMERE,
Department of Health,03F,31/01/2017,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000240414,"£64,577.46",FNC RECHARGES 10/10/16 - 06/11/16,
Department of Health,03F,31/01/2017,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000240611,"£55,983.71",FNC RECHARGES 07/11/16 - 04/12/16,
Department of Health,03F,31/01/2017,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000240636,"£321,461.32",CONTINUING HEALTH RECHARGES OCTOBER 2016,
Department of Health,03F,31/01/2017,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000241365,"£110,137.77",CARE IN THE COMMUNITY RECHARGE JAN 17,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1438HC09,"£34,303.20",INTERPRETING SERVICES,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1599HC10,"£30,457.92",INTERPRETING SERVICES DEC 16,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800094784,"£306,013.97",EQUIPMENT PURCHASES AND ACTIVITY,
Department of Health,03F,31/01/2017,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,1846,"-£37,092.00",CHC 31/08-29/09/16,
Department of Health,03F,31/01/2017,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,2246,"£38,948.40",CHC FEES JANUARY 2017,
Department of Health,03F,31/01/2017,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,301022281,"£69,834.83",HULL CITY EA JAN 17,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017473,"£32,195.93",RUNNING COSTS UNIT 2 PRIORY PARK SEPT - OCT 16,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,PRIMARY CARE DEVELOPMENT,CITY HEALTH CARE PARTNERSHIP CIC,7410017664,"£57,500.00",DIGITAL TRANSFORMATION FUNDING ,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,PRIMARY CARE DEVELOPMENT,CITY HEALTH CARE PARTNERSHIP CIC,7410017664,"£57,500.00",DIGITAL TRANSFORMATION FUNDING ,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017883,"£36,018.24",LONGHILL RENT CHARGES NOV 16,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017904,"£36,018.24",LONGHILL HC RENT CHARGES DEC 16,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017927,"£300,000.00",JANUARY 2017 CONTRACTUAL INCOME URGENT CARE,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017929,"£1,625,000.00",JANUARY 2017 CONTRACTUAL INCOME INTEGRATED COMMUNITY SERVICES 2016/17,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017931,"£155,450.00",JANUARY 2017 CONTRACT VARIATION,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017934,"£54,166.67",JANUARY 2017 CONTRACTUAL INCOME SEXUAL HEALTH SERVICE,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017936,"£370,822.29",JANUARY 2017 CONTRACTUAL INCOME OUT OF SCOPE CONTRACTS,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410017940,"£292,448.52",JANUARY CONTRACTUAL INCOME DEPRESSION AND ANXIETY,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410018090,"£58,333.00",PHB LEGACY NON RECURRENT FUNDING JUL 16 - JAN 17,
Department of Health,03F,31/01/2017,Chrgs from SLA,PROGRAMME PROJECTS,KIER BUSINESS SERVICES LTD,90221282,"£175,715.58",PROFESSIONAL SERVICES  DECEMBER 2016,
Department of Health,03F,31/01/2017,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR204,"£42,716.67",CONTRACT FUNDING 2016/17,
Department of Health,03F,31/01/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,JAN17HCCGHS036,"£136,788.16",FIXED PAYMENT MONTH 10 16/17,
Department of Health,03F,31/01/2017,Other Research Exp,COMMISSIONING - NON ACUTE,UNIVERSITY OF HULL,SCRN4563,"-£29,964.00",CREDIT TO CANCEL 62434,
Department of Health,03F,31/01/2017,Other Research Exp,COMMISSIONING - NON ACUTE,UNIVERSITY OF HULL,SOIN62503,"£29,964.00",THE DEAREST PROJECT,
Department of Health,03F,31/01/2017,,,,,,,
Department of Health,03F,31/01/2017,,,,,,,
Department of Health,03F,31/01/2017,,,,,,,
Department of Health,03F,31/01/2017,,,,,,,
Department of Health,03F,31/01/2017,,,,,,,
Department of Health,03F,31/01/2017,,,,,,,
