Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/09/2016,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0002402,"£14,383,333.00",BLOCK CONTRACT SEPTEMBER 2016,
Department of Health,03F,30/09/2016,NHS Recbles<1Yr CHC Risk Pool Con,BALANCE SHEET,A HART,103237-30-AUG-2016,"£83,431.90",REIMBURSEMENT OF CARE FEES,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,1019254,"£29,501.30",NON PTS SERVICE & PATHOLOGY FEE 01/08/16,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF161706,"£654,604.00",SEPT 16 ESTIMATED CONTRACTED VALUE SPIRE HULL,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC161703,"£105,985.40",SAC ACTIVITIES JUNE 2016/17,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,122211,"£51,289.71",EAST RIDING FERTILITY 31/08/16,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,1638,"-£80,890.86",FULL CREDIT FOR INVOICE 7410016136,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800094230,"£250,241.89",EQUIPMENT PURCHASES & ACTIVITY AUGUST 2016,
Department of Health,03F,30/09/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,2029,"£47,859.97","CHC 2941, 4100, 5094 & 3458 01/08/16 - 31/08/16",
Department of Health,03F,30/09/2016,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,301001044,"£69,834.83",HULL CITY EA INVOICE SEPTEMBER 2016,
Department of Health,03F,30/09/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48383504,"£73,714.53","CONIFER HOUSE VACANT SPACE CHARGES Q1,Q2,Q3",
Department of Health,03F,30/09/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48383568,"£66,273.00","OCTAGON VACANT SPACE CHARGE Q1, Q2, Q3",
Department of Health,03F,30/09/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,48405150,"£124,368.68",Q1 - Q4 2015/16 VACANT SPACE CHARGE MARMADUKE H/C,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,650HC05,"£37,887.23","FACE TO FACE INTERPRETING, TELEPHONE INTERPRETING & TRANSLATION DOCUMENTS",
Department of Health,03F,30/09/2016,Computer Software/License,COMMISSIONING SCHEMES,FIRST DATABANK EUROPE LTD,6590,"£107,397.43",ANNUAL END USER FEE YEAR 2 TPP YEAR 2 EMIS OCTOBER 16 TO SEPTEMBER 17,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410014452,"£29,063.83",RECHARGE YE RECONCILIATION MARMADUKE HEALTH CENTRE,
Department of Health,03F,30/09/2016,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410015780,"£50,949.54",JUNE 16 NIGHT SITS,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016081,"£300,000.00",SEPTEMBER 16 CONTRACTUAL INCOME URGENT CARE,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016083,"£1,625,000.00",SEPTEMBER 16 CONTACTUAL INCOME INTEGRATED COMMUNITY SERVICE,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016084,"£109,616.66",2016/17 CONTRACT VARIATION SEPTEMBER URGENT CARE,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016092,"£54,166.67",SEPTEMBER 16 CONTRACTUAL INCOME SEXUAL HEALTH SERVICES,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016094,"£370,822.29",SEPTEMBER 16 CONTRACTUAL INCOME OUT OF SCOPE CONTRACTS,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410016097,"£292,448.52",AUG 16 CONTRACTUAL INCOME DEPRESSION AND ANXIETY,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410016134,"£325,159.20",ADDITIONAL DASH ACTIVITY QTR 1 2016/17,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410016135,"£35,319.33",RECHARGE EAST RIDING CHC FUNDED PHB JULY 2016,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410016136,"£80,890.86",RECHARGE CHC FUNDED PERSONAL HEALTH BUDGET EXPENDITURE JULY 16,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410016238,"£73,551.12",RECHARGE CHC FUNDED PERSONAL HEALTH BUDGET EXPENDITURE JULY 16,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016312,"£30,443.38",RUNNING COSTS UNIT 2 PRIORY PARK JULY STANDARD & EXEMPT ITEMS,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016336,"£36,018.24",LONGHILL H/C RENT SEPTEMBER 2016,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016342,"£36,018.24",LONGHILL H/C RENT AUGUST 2016,
Department of Health,03F,30/09/2016,Chrgs from SLA,PROGRAMME PROJECTS,KIER BUSINESS SERVICES LTD,90215803,"£177,572.40",SERVICES RECEIVED IN YORKSHIRE & HUMBER CCGS,
Department of Health,03F,30/09/2016,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,CR16031812293358,"-£40,777.08",2015/16 YEAR END REC CONIFER HOUSE CREDIT,
Department of Health,03F,30/09/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,SEPT16HCCGGHS028,"£136,788.16",FIXED PAYMENT SEPT 2016,
