Department family,Entity,Expense area,Expense Type,Supplier,Transaction number,Date,AP Amount (£),VAT registration number
Department of Health,NHS Hull CCG,AMBULANCE SERVICES,Hcare Srv Rec NHS Trust-Contract Baseline,YORKSHIRE AMBULANCE SERVICE NHS TRUST,PP2810002152,31.12.13,"769,192.00",
Department of Health,NHS Hull CCG,PATIENT TRANSPORT,Hcare Srv Rec NHS Trust,YORKSHIRE AMBULANCE SERVICE NHS TRUST,PP2810002216,31.12.13,"96,490.00",
Department of Health,NHS Hull CCG,CHC ADULT FULLY FUNDED,Cont Care-Learning Disab(<65),VOYAGE 1 LTD TA VOYAGE CARE,CARE7656143,31.12.13,"28,772.00",
Department of Health,NHS Hull CCG,ACUTE COMMISSIONING,Clinical&Medical-Independent Sector,SPIRE HEALTHCARE LTD,03F011213PFHUL,31.12.13,"395,122.00",
Department of Health,NHS Hull CCG,ACUTE COMMISSIONING,Clinical&Medical-Independent Sector,SPIRE HEALTHCARE LTD,03F300913RECHUL,31.12.13,"291,496.24",
Department of Health,NHS Hull CCG,CHC ADULT FULLY FUNDED,Cont Care-Physical Disab (65+),WARREN CENTRE,836,31.12.13,"37,500.00",
Department of Health,NHS Hull CCG,CARERS,Services From Local Authorities,HULL CITY COUNCIL,1000182812,31.12.13,"33,421.67",
Department of Health,NHS Hull CCG,COMMUNITY SERVICES,Services From Local Authorities,HULL CITY COUNCIL,1000184017,31.12.13,"50,200.00",
Department of Health,NHS Hull CCG,COMMUNITY SERVICES,Services From Local Authorities,HULL CITY COUNCIL,1000184756,31.12.13,"123,028.56",
Department of Health,NHS Hull CCG,FUNDED NURSING CARE,Cont Care-Funded Nursing Care Allow,HULL CITY COUNCIL,1000184793,31.12.13,"33,252.91",
Department of Health,NHS Hull CCG,CARERS,Services From Local Authorities,HULL CITY COUNCIL,1000184829,31.12.13,"33,421.67",
Department of Health,NHS Hull CCG,CHC ADULT FULLY FUNDED,Cont Care- Palliative Care,HULL CITY COUNCIL,1000184925,31.12.13,"483,931.38",
Department of Health,NHS Hull CCG,COMMUNITY SERVICES,Services From Local Authorities,HULL CITY COUNCIL,1000185568,31.12.13,"123,028.54",
Department of Health,NHS Hull CCG,CARERS,Services From Local Authorities,HULL CITY COUNCIL,1000185593,31.12.13,"33,421.67",
Department of Health,NHS Hull CCG,CHC ADULT FULLY FUNDED,Cont Care-Learning Disab(<65),FOXGLOVE CARE LTD,1096,31.12.13,"64,927.07",
Department of Health,NHS Hull CCG,COMMISSIONING - NON ACUTE,Health Promotion,CATZERO LTD,1120,31.12.13,"175,000.00",
Department of Health,NHS Hull CCG,ACUTE COMMISSIONING,Clinical&Medical-Independent Sector,EAST RIDING FERTILITY SERVICES LTD,115961,31.12.13,"61,203.46",
Department of Health,NHS Hull CCG,COMMUNITY SERVICES,Clinical&Medical-Independent Sector,NOTTINGHAM REHAB SUPPLIES,1800089105,31.12.13,"116,070.66",
Department of Health,NHS Hull CCG,COMMUNITY SERVICES,Clinical&Medical-Independent Sector,NOTTINGHAM REHAB SUPPLIES,1800089108,31.12.13,"40,297.84",
Department of Health,NHS Hull CCG,COMMUNITY SERVICES,Clinical&Medical-Independent Sector,NOTTINGHAM REHAB SUPPLIES,1800089109,31.12.13,"45,902.22",
Department of Health,NHS Hull CCG,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,Clinical&Medical-Independent Sector,JOAN PICKARD LTD,51314,31.12.13,"-60,476.09",
Department of Health,NHS Hull CCG,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,Clinical&Medical-Independent Sector,JOAN PICKARD LTD,5.13E+15,31.12.13,"60,452.69",
Department of Health,NHS Hull CCG,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,Clinical&Medical-Independent Sector,JOAN PICKARD LTD,5.13E+15,31.12.13,"60,476.09",
Department of Health,NHS Hull CCG,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,Clinical&Medical-Independent Sector,JOAN PICKARD LTD,61314,31.12.13,"52,303.40",
Department of Health,NHS Hull CCG,INTERPRETING SERVICES,Other Gen Supplies & Srv,AA GLOBAL LANGUAGE SERVICES LTD,727HC02,31.12.13,"38,360.40",
Department of Health,NHS Hull CCG,CHC ADULT FULLY FUNDED,Cont Care-Physical Disab (65+),CITY HEALTH CARE PARTNERSHIP CIC,7410000483,31.12.13,"26,074.08",
Department of Health,NHS Hull CCG,CHC ADULT FULLY FUNDED,Cont Care- Palliative Care,CITY HEALTH CARE PARTNERSHIP CIC,7410001246,31.12.13,"31,048.56",
Department of Health,NHS Hull CCG,CHC CHILDREN,Clinical&Medical-Voluntary Sector,ABL HEALTH LTD,BUMPS001,31.12.13,"26,376.28",
Department of Health,NHS Hull CCG,HOSPICES,Clinical&Medical-Voluntary Sector,DOVE HOUSE HOSPICE,FR947,31.12.13,"46,600.00",
Department of Health,NHS Hull CCG,COMMUNITY SERVICES,Hcare Srv Rec Oth-NHS-Contract Baseline,CITY HEALTH CARE PARTNERSHIP CIC,PP7410001388,31.12.13,"1,943,275.00",
Department of Health,NHS Hull CCG,COMMUNITY SERVICES,Clinical&Medical-Independent Sector,CITY HEALTH CARE PARTNERSHIP CIC,PP7410001389,31.12.13,"74,725.00",
Department of Health,NHS Hull CCG,COMMUNITY SERVICES,Clinical&Medical-Independent Sector,CITY HEALTH CARE PARTNERSHIP CIC,PP7410001394,31.12.13,"46,970.00",
Department of Health,NHS Hull CCG,CHC ADULT FULLY FUNDED,Cont Care- Palliative Care,SUTTON HOUSE CARE HOME,SH1001213,31.12.13,"41,944.40",
