Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,28/02/2017,Non-PFI Oprtng Lease-Bldgs-Lease Rent,CHC CHILDREN,COMMUNITY HEALTH PARTNERSHIPS LTD,60023590,"£34,746.04",VOID COSTS JANUARY 16/17,
Department of Health,03F,28/02/2017,Non-PFI Oprtng Lease-Bldgs-Lease Rent,CHC CHILDREN,COMMUNITY HEALTH PARTNERSHIPS LTD,60026535,"£33,229.34",BOOKABLE COSTS VARIOUS HEALTH CENTRES,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF161711,"£654,604.00",1/12 CQUIN FEB 2017,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC161708,"£170,945.75",SAC ACTIVITIES NOV 16/17,
Department of Health,03F,28/02/2017,Clinical&Medical-Othe Public Sector,CHC CHILDREN,HULL CITY COUNCIL,1000236080,"£432,305.00",2016-17 BETTER CARE FUND,
Department of Health,03F,28/02/2017,Cont Care-Funded Nursing Care Allow,COMMISSIONING,HULL CITY COUNCIL,1000241387,"£62,590.85",FNC RECHARGES 5/12/16 - 1/1/17,
Department of Health,03F,28/02/2017,Cont Care-Mental Health (<65),COMMISSIONING,HULL CITY COUNCIL,1000241781,"£293,875.73",CONTINUING HEALTH RECHARGES NOVEMBER 2016,
Department of Health,03F,28/02/2017,Cont Care- Palliative Care,COMMISSIONING,HULL CITY COUNCIL,1000241947,"£55,157.82",FNC RECHARGES JAN 2017,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,EAST RIDING FERTILITY SERVICES LTD,122821,"£29,228.85",NCA DEC 16,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,NOTTINGHAM REHAB LTD,1800094947,"£226,639.22",EQUIPMENT PURCHASES JANUARY 17,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1812HC11,"£34,567.20",INTERPRETING SERVICES,
Department of Health,03F,28/02/2017,C&M-APMS Contract Value,CHC CHILDREN,VIRGIN CARE EAST RIDING LLP,301033282,"£69,834.83",HULL CITY EA INVOICE FEBRUARY 2017,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410016881,"£37,092.00",DISCHARGE HUB OCT 15 - MAR 16,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410016882,"£37,500.00",DISCHARGE HUB APR - SEPT 16,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410017664,"£57,500.00",DIGITAL TRANSFORMATION FUNDING ,
Department of Health,03F,28/02/2017,Cont Care- Palliative Care,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410018097,"£39,962.52",DECEMBER 16 NIGHT SITS,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410018225,"£28,339.20",JUNE 16 SESSIONAL ROOM BOOKINGS,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410018384,"£54,166.67",FEBRUARY 2017 CONTRACTUAL INCOME SEXUAL HEALTH SERVICES,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410018386,"£1,625,000.00",FEBRUARY 2017 CONTRACTUAL INCOME INTEGRATED COMMUNITY SERVICES CQUINN IN ADVANCE,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410018388,"£114,200.00",2016/17 CONTRACT VARIATION URGENT CARE,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410018389,"£370,822.29",FEBRUARY 2017 CONTRACTUAL INCOME OUT OF SCOPE CONTRACTS,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410018393,"£300,000.00",FEB 2017 CONTRACTUAL INCOME URGENT CARE,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410018396,"£292,448.52",FEBRUARY CONTRACTUAL INCOME DEPRESSION AND ANXIETY,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410018484,"£36,018.24",LONGHILL HC RENT CHARGES JAN 2017,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,7410018510,"£76,877.89",RECHARGE FOR EAST RIDING CHC FUNDED PHB NOV & DEC 2016,
Department of Health,03F,28/02/2017,Chrgs from SLA,CHC CHILDREN,KIER BUSINESS SERVICES LTD,90222699,"£175,691.58",BLOCK FEB 17,
Department of Health,03F,28/02/2017,Clinical&Medical-Othe Public Sector,NCAS/OATS,HUMBERSIDE FIRE & RESCUE SERVICE,C010791,"-£438,025.60",CREDIT TO CANCEL INVOICE I-010618,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,NCAS/OATS,HEALTHSHARE LTD,FEB17HCCGHS039,"£136,788.16",FIXED PAYMENT MONTH 11 16/17,
Department of Health,03F,28/02/2017,Clinical&Medical-Voluntary Sector,NCAS/OATS,DOVE HOUSE HOSPICE,FR204,"£42,716.67",CONTRACT FUNDING 2016/17,
Department of Health,03F,28/02/2017,Clinical&Medical-Othe Public Sector,CHC ADULT FULLY FUNDED,HUMBERSIDE FIRE & RESCUE SERVICE,I010618,"£438,025.60",FUNDING COSTS OF THE FALL TEAM APRIL TO NOVEMBER 2016,
Department of Health,03F,28/02/2017,Clinical&Medical-Othe Public Sector,CHC ADULT FULLY FUNDED,HUMBERSIDE FIRE & RESCUE SERVICE,I010792,"£354,208.80",FUNDING COSTS OF THE FALL TEAM 2016/17,
Department of Health,03F,28/02/2017,Clinical&Medical-Independent Sector,OPERATIONS MANAGEMENT,HEALTHSHARE LTD,JAN17HCCGHS038ESTATES,"£48,673.75",HIGHLANDS RENTAL 16/17,
Department of Health,03F,28/02/2017,Other professional fees,CHC ADULT FULLY FUNDED,ATTAIN HEALTH MANAGEMENT SERVICES,2188,"£57,736.70",HUMBER COAST & VALE STP EXTENSION JULY 2016,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
