Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Descritption,VAT registration number
Department of Health,NHS Hull CCG,28/02/2014,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1164,"58,643.81",FEES 7 CLIENTS 1/2/14 - 28/2/14,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800039411,"83,843.03",EQUIPMENT PURCHASES & ACTIVITY 28/12/13 - 24/1/14,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800089288,"149,694.41",EQUIPMENT PURCHASES AND ACTIVITY 23/11/13 - 27/12/13,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Voluntary Sector,WHEELCHAIR SERVICE,NRS HEALTHCARE,1800089290,"50,820.67",WHEELCHAIR SERVICES DECEMBER 2013,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NRS HEALTHCARE,1800089291,"60,397.62",WHEELCHAIR SERVICES DEC 13,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HULL CHILDREN`S UNIVERSITY,548,"31,250.00",HULL CHILDREN'S UNIVERSITY 6 CONCEPTS PROGRAMME Q1 - Q4 2013/14,
Department of Health,NHS Hull CCG,28/02/2014,Audit Fees: Statutory,FINANCE,KPMG LLP,5500796690,"26,400.00",FINAL FEES FOR FY 2013/14,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410002049,"149,811.00",FEB CONTRACTUAL INCOME  RECURRENT STD CONTRACT,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410002051,"28,067.00",FEB CONTRACTUAL INCOME  NON  RECURRENT STD CONTRACT,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410002061,"46,969.00",FEB CONTRACTUAL INCOME  COMMUNITY PAEDIATRIC MEDICAL SERVICES ,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410002092,"36,771.34",AQP PAIN MANAGEMENT DEC 13,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,939HC05,"31,177.80",PROV OF INTERPRETING SERVICES ,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Voluntary Sector,CHC CHILDREN,ABL HEALTH LTD,BUMPS002,"26,376.28",BIRTH PREPARATION SERVICE JANUARY - MARCH 2014,
Department of Health,NHS Hull CCG,28/02/2014,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,VOYAGE LTD,CARE7641610,"35,831.25",FEES 10247 7/5/13 - 30/9/13,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR947,"46,600.00",CONTRACT FUNDING APRIL 2013,
Department of Health,NHS Hull CCG,28/02/2014,Clinical&Medical-Independent Sector,COMMUNITY HEALTH SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,PP7410002048,"1,943,275.00",FEBUARY CONTRACTUAL INCOME,
Department of Health,NHS Hull CCG,28/02/2014,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000114,"39,875.92",FEES SEVERAL CLIENTS 1/1/14 - 31/1/14,
