Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (œ),Description,VAT registration number
Department of Health,03F,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810007059,"789,996.72",A&E BLOCK CONTRACT 2014 EXCLUDING CQUINS,
Department of Health,03F,31/12/2014,Hcare Srv Rec NHS Trust,NHS 111,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810007131,"53,990.00",111 CONTRACT DECEMBER 2014,
Department of Health,03F,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,PATIENT TRANSPORT,YORKSHIRE AMBULANCE SERVICE NHS TRUST,2810007159,"118,422.33",PTS CONTRACT DECEMBER 2014,
Department of Health,03F,31/12/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210012906,"14,094,283.00",2014/15 BLOCK CONTRACT DECEMBER 2014,
Department of Health,03F,31/12/2014,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,CHC Retrospective Payment,101622-02-DEC-2014,"26,531.06",REIMBURSEMENT OF CARE FEES,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F011214PFHUL,"419,093.00",SPIRE HULL PERIOD OF SERVICE DECEMBER 2014,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03F1314KPIADJCR,"-28,018.49",SPIRE HEALTHCARE CREDI T,
Department of Health,03F,31/12/2014,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000201101,"466,122.94",CONTINUING HEALTH RECHARGES NOVEMBER 2014,
Department of Health,03F,31/12/2014,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000202028,"44,183.92",FNC RECHARGES 10/11/2014 - 07/12/2014,
Department of Health,03F,31/12/2014,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000202244,"123,028.56",CARE IN THE COMMUNITY DECEMBER 2014,
Department of Health,03F,31/12/2014,Cont Care-Learning Disab(65+),CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000202249,"528,779.49",CONTINUING HEALTH RECHARGES DECEMBER 2014,
Department of Health,03F,31/12/2014,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HULL CHILDREN`S UNIVERSITY,1110,"31,250.00",INCOME RESTRICTED Q3 FUNDING,
Department of Health,03F,31/12/2014,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1398,"91,849.90",CARE FEES 01/12/2014 - 31/12/2014,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800090831,"64,497.59",EQUIPMENT COSTS FOR WHEELCHAIR SERCVICE NOVEMBER 2014,
Department of Health,03F,31/12/2014,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,1800090832,"32,587.74",EQUIPMENT COSTS FOR WHEELCHAIR SERCVICE NOVEMBER 2014,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB SUPPLIES,180090824,"139,450.55",EQUIPMENT PURCHASES,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,71415,"91,291.74",PROVISION OF COUNSELLING SERVICE OCTOBER 2014,
Department of Health,03F,31/12/2014,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410005698,"26,492.94",CONTINUING CARE OCTOBER 2014,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410005732,"32,712.46",RENT AND SERVICE RECHARGES Q1 2014/15,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410005737,"32,712.46",RENT AND SERVICE RECHARGES Q2 2014/15,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410005740,"1,945,936.00",DECEMBER CONTRACTUAL INCOME ,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410005741,"49,167.00",DECEMBER CONTRACTUAL INCOME CONTRACT VARIATION 3-6,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410005742,"46,609.00",DECEMBER CONTRACTUAL INCOME NON RECURRENT,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410005748,"46,124.00",DECEMBER CONTRACTUAL INCOME COMMUNITY PAEDIATRICS,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410005755,"146,985.60",DECEMBER CONTRACTUAL INCOME DEPRESSION & ANXIETY,
Department of Health,03F,31/12/2014,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,803Z378,"69,075.00",UNREGISTERED PATIENTS REVENUE,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,JOAN PICKARD LTD,81415,"81,273.40",PROVISION OF COUNSELLING SERVICE NOVEMBER 2014,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,832HC08,"46,229.40",INTERPRETING SERVICES,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,964HC11,"36,287.40",INTERPRETING SERVICES ,
Department of Health,03F,31/12/2014,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR010,"46,600.00",CONTRACT FUNDING 14/15,
Department of Health,03F,31/12/2014,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,HCCGHS00206,137499.83,HEALTHSHARE NOV 2014 - MAR 2015,
Department of Health,03F,31/12/2014,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000914,32025.41,CARE FEES 01/09/2014 - 30/09/2014,
